time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	3,35701273746e-07	1,17254551234e-07	0,0	2,26553808497e-07	2,26553808497e-07	1,46225752776e-07	8,16249793816e-08	1,17254551234e-07	0,0	6,86650579308e-08	3,62117602228e-08	1,60677687711e-07	6,22881104079e-08	1,60677687711e-07	1,00252461327e-08	7,85696566859e-08	7,24011633818e-08
1800	-4,22765182928e-07	-1,48790077416e-07	0,0	-2,84245543337e-07	-2,84245543337e-07	-1,79020291804e-07	-1,06843496355e-07	-1,48790077416e-07	0,0	-8,39983833767e-08	-3,07858408481e-08	-1,77920026578e-07	-8,63790452502e-08	-1,77920026578e-07	1,99082065157e-08	-7,39607063753e-08	-5,63151165752e-08
2700	6,61427355946e-07	2,34968895107e-07	0,0	4,42644393854e-07	4,42644393854e-07	2,69530729186e-07	1,75610638276e-07	2,34968895107e-07	0,0	1,4674331293e-07	3,56567469291e-08	2,85775526295e-07	1,32829159667e-07	2,85775526295e-07	-1,4990541259e-08	1,29447618577e-07	1,03973349917e-07
3600	-1,14130192438e-08	-1,18251121836e-08	0,0	-2,73287725705e-10	-2,73287725705e-10	-1,15376249307e-08	1,12969753877e-08	-1,18251121836e-08	0,0	-7,66982396422e-09	1,19682145501e-09	-1,632669981e-08	-2,08996039994e-09	-1,632669981e-08	3,73874290924e-09	-1,83248805898e-08	-1,8059594657e-09
4500	-1,92259784428e-07	-6,21927905579e-08	0,0	-1,34454974159e-07	-1,34454974159e-07	-9,73658651996e-08	-3,78585402101e-08	-6,21927905579e-08	0,0	-2,40419255863e-08	-2,08446931245e-08	-7,96908721578e-08	-2,77118432721e-08	-7,96908721578e-08	-2,0264998268e-10	-4,70426500825e-08	-3,25914203996e-08
5400	-1,97167679793e-07	-6,7351588214e-08	0,0	-1,34496702136e-07	-1,34496702136e-07	-6,70302385144e-08	-6,82527824113e-08	-6,7351588214e-08	0,0	-5,21278727572e-08	5,1701329264e-09	-7,43414018972e-08	-4,02254649246e-08	-7,43414018972e-08	-9,25082286153e-09	-2,69527829269e-08	-3,82294146286e-08
6300	-8,80062339504e-08	-2,99695883174e-08	0,0	-6,01176852978e-08	-6,01176852978e-08	-2,7278996208e-08	-3,3186644965e-08	-2,99695883174e-08	0,0	-2,29669396343e-08	3,76719375822e-09	-3,5892599972e-08	-1,33927372231e-08	-3,5892599972e-08	5,08385030501e-09	-2,11482765924e-08	-1,99165253094e-08
7200	1,2226926161e-07	4,38123002801e-08	0,0	8,14684922055e-08	8,14684922055e-08	4,99999880451e-08	3,19260345226e-08	4,38123002801e-08	0,0	1,90575970739e-08	-4,38204633842e-10	4,65758387479e-08	1,59572364206e-08	4,65758387479e-08	-1,1967569035e-08	2,66577069132e-08	3,20247087358e-08
8100	-1,86907572733e-07	-7,0789992206e-08	0,0	-1,20931660433e-07	-1,20931660433e-07	-6,87352185872e-08	-5,28523359292e-08	-7,0789992206e-08	0,0	-4,68601903333e-08	-2,47483693976e-08	-1,01866599565e-07	-4,11550873416e-08	-1,01866599565e-07	-5,52451214545e-09	-4,26724219078e-08	-5,39167805161e-08
