time	I_imag	d/dt
0	5,34981567315e-06	0
900	9,469719149e-06	6,86650579308e-08
1800	4,42981614639e-06	-8,39983833767e-08
2700	1,32344149222e-05	1,4674331293e-07
3600	1,27742254843e-05	-7,66982396422e-09
4500	1,13317099492e-05	-2,40419255863e-08
5400	8,20403758372e-06	-5,21278727572e-08
6300	6,82602120566e-06	-2,29669396343e-08
7200	7,9694770301e-06	1,90575970739e-08
8100	5,1578656101e-06	-4,68601903333e-08
9000	4,55477270862e-06	-1,00515483579e-08
9900	5,33882950669e-06	1,30676133011e-08
10800	4,28760575728e-06	-1,75203958234e-08
11700	4,18674793333e-06	-1,68096373259e-09
12600	4,95472912542e-06	1,27996865349e-08
13500	5,38731689357e-06	7,20979613587e-09
14400	4,39569723477e-06	-1,65269943133e-08
15300	3,83629755575e-06	-9,32332798378e-09
16200	5,34600395687e-06	2,5161773352e-08
17100	4,40622312623e-06	-1,5663013844e-08
18000	4,1989075327e-06	-3,45525989218e-09
18900	4,66690384859e-06	7,79993859821e-09
19800	4,01334823506e-06	-1,08925935588e-08
20700	4,9681302359e-06	1,59130333473e-08
21600	6,1250216294e-06	1,9281523225e-08
22500	6,53687857232e-06	6,86428238208e-09
23400	6,79483753611e-06	4,29931606318e-09
24300	6,49817928889e-06	-4,94430412045e-09
25200	8,0953146397e-06	2,66189225136e-08
26100	9,25442650586e-06	1,93185311026e-08
27000	9,02675833254e-06	-3,79446955528e-09
27900	1,19208067836e-05	4,82341408516e-08
28800	1,8375733629e-05	1,07582114089e-07
29700	2,05196400531e-05	3,5731773735e-08
30600	5,23658677616e-05	5,30770461809e-07
31500	3,94945262301e-05	-2,14522358859e-07
32400	2,65969293917e-05	-2,14959947306e-07
33300	3,03969576069e-05	6,33338035869e-08
34200	1,72645424676e-05	-2,18873585656e-07
35100	3,78869184001e-05	3,43706265543e-07
36000	9,48458126427e-06	-4,73372285597e-07
36900	2,10126529596e-05	1,92134528256e-07
37800	2,92900096434e-05	1,37955944729e-07
38700	-1,20334069798e-07	-4,90172395219e-07
39600	-3,75251662404e-07	-4,24862654344e-09
40500	-1,41895848487e-05	-2,30238886438e-07
41400	-9,13289315044e-06	8,42781949709e-08
42300	-3,35602042576e-06	9,6281212078e-08
43200	-2,62094760485e-06	1,22512136818e-08
44100	-4,02396822334e-07	3,69758463752e-08
45000	-1,83928717784e-06	-2,39481725918e-08
45900	-1,54045968824e-06	4,98045816008e-09
46800	-7,16855842473e-07	1,37267307627e-08
47700	-4,24801512586e-06	-5,88526547232e-08
48600	-1,80362259651e-06	4,07398754893e-08
49500	-7,09880341063e-07	1,82290375908e-08
50400	-6,25341649542e-06	-9,23922692393e-08
51300	-1,00183123805e-06	8,75264209562e-08
52200	-2,30275578416e-06	-2,16820757684e-08
53100	9,52090185086e-06	1,97060960584e-07
54000	9,36539671966e-06	-2,59175218667e-09
54900	-3,87700388837e-05	-8,02257260056e-07
55800	6,42361835199e-06	7,53227620595e-07
56700	5,22946558619e-05	7,64517291832e-07
57600	2,01667932928e-05	-5,35464376151e-07
58500	1,10273541622e-06	-3,17734297943e-07
59400	1,48153375069e-06	6,31330557444e-09
60300	1,09110361825e-06	-6,50716887394e-09
61200	1,68544443297e-06	9,90568024531e-09
62100	1,34039117988e-06	-5,75088755143e-09
63000	1,32888997844e-06	-1,91686690746e-10
63900	1,32151432282e-06	-1,22927593679e-10
64800	4,3480352168e-05	7,0264729742e-07
65700	1,52415021235e-06	-6,99270032594e-07
66600	1,30465257589e-06	-3,65829394106e-09
67500	9,19510399108e-07	-6,41903627968e-09
68400	1,81359556319e-06	1,49014194013e-08
69300	1,50143394396e-06	-5,20269365374e-09
70200	2,05341035654e-06	9,19960687624e-09
71100	2,85118996194e-06	1,32963267567e-08
72000	2,93724401018e-06	1,43423413734e-09
72900	2,47994083887e-06	-7,62171952181e-09
73800	1,93868612529e-06	-9,02091189304e-09
74700	1,80450529749e-06	-2,23634713001e-09
75600	1,08384885601e-06	-1,20109406913e-08
76500	1,15490725763e-06	1,18430669361e-09
77400	4,57762757633e-05	7,43689475094e-07
78300	1,24402735263e-06	-7,42204140177e-07
79200	4,18183962616e-05	6,76239481816e-07
80100	3,98085283769e-05	-3,34977980788e-08
81000	3,18373637808e-05	-1,32852743268e-07
81900	3,28038513482e-05	1,6108126124e-08
82800	2,37965188897e-05	-1,50122207642e-07
83700	2,01326873279e-05	-6,10638593633e-08
84600	2,07784936107e-05	1,07634380471e-08
85500	1,6277429407e-05	-7,50177367291e-08
86400	8,85313159095e-06	-1,23738296934e-07
87300	8,7250897218e-06	-2,13403115238e-09
88200	7,57154884919e-06	-1,92256812102e-08
89100	6,17094185431e-06	-2,33434499147e-08
90000	4,80930345166e-06	-2,26939733775e-08
90900	5,66719689716e-06	1,42982240917e-08
91800	4,15944835665e-06	-2,51291423418e-08
92700	4,73830889163e-06	9,64767558298e-09
93600	5,08472101234e-06	5,77353534522e-09
94500	4,5055099118e-06	-9,65351834235e-09
95400	4,26508512716e-06	-4,00707974403e-09
96300	3,74767196855e-06	-8,62355264345e-09
97200	3,86918966053e-06	2,02529486625e-09
98100	4,05497033399e-06	3,09634455762e-09
99000	4,07177090935e-06	2,80009589334e-10
99900	4,26023839376e-06	3,14112474031e-09
100800	3,17590312802e-06	-1,80722544291e-08
101700	3,79723119309e-06	1,03554677511e-08
