time	Va	d/dt
0	-0,000855359463869	0
900	-0,0012218171659	-6,10762836712e-06
1800	-0,000729006966246	8,21350332751e-06
2700	-0,00142861470835	-1,16601290351e-05
3600	-0,00141272584025	2,64814468361e-07
4500	-0,00125380530097	2,64867565468e-06
5400	-0,00106239512953	3,19016952401e-06
6300	-0,000964900705123	1,62490707337e-06
7200	-0,00110045337408	-2,25921114928e-06
8100	-0,000879555172823	3,68163668761e-06
9000	-0,000832207342698	7,89130502088e-07
9900	-0,000851024181833	-3,13613985593e-07
10800	-0,000766140986955	1,41471991463e-06
11700	-0,000806974905541	-6,80565309769e-07
12600	-0,000868332819004	-1,02263189104e-06
13500	-0,000929173873078	-1,0140175679e-06
14400	-0,000817652790393	1,85868471141e-06
15300	-0,000726988676793	1,51106856e-06
16200	-0,000859556440404	-2,20946272685e-06
17100	-0,000810211851083	8,22409822014e-07
18000	-0,000810382929136	-2,85130088696e-09
18900	-0,000834241604299	-3,97644586038e-07
19800	-0,000773159044571	1,01804266213e-06
20700	-0,000845092051088	-1,19888344196e-06
21600	-0,000919923996238	-1,24719908582e-06
22500	-0,000975693844605	-9,29497472786e-07
23400	-0,00101516103194	-6,57786455599e-07
24300	-0,000978764607018	6,06607082051e-07
25200	-0,00110321464917	-2,07416736925e-06
26100	-0,00113475387623	-5,25653784229e-07
27000	-0,00112346164675	1,88203824537e-07
27900	-0,00126884007863	-2,42297386453e-06
28800	-0,00155390774933	-4,75112784503e-06
29700	-0,00178404984272	-3,83570155656e-06
30600	-0,00254751352761	-1,27243947481e-05
31500	-0,00223833479093	5,15297894463e-06
32400	-0,00181446239275	7,06453996965e-06
33300	-0,00195328942938	-2,31378394377e-06
34200	-0,00173994777874	3,55569417727e-06
35100	-0,0025130597203	-1,28851990259e-05
36000	-0,00116511751692	2,24657033896e-05
36900	-0,00145660681902	-4,85815503497e-06
37800	-0,00195425621891	-8,2941566648e-06
38700	0,000179004620105	3,55543473169e-05
39600	0,000617875011551	7,3145065241e-06
40500	0,00113881989935	8,68241479664e-06
41400	0,0015689656961	7,1690966125e-06
42300	0,00771782267694	0,000102480949681
43200	0,00690402236843	-1,35633384752e-05
44100	0,00340466546717	-5,8322615021e-05
45000	0,0055787945333	3,62354844354e-05
45900	0,00548222681905	-1,6094619042e-06
46800	0,00393413985939	-2,58014493277e-05
47700	0,00843938205901	7,50873699937e-05
48600	0,0054474686914	-4,98652227935e-05
49500	0,00375548580088	-2,81997148421e-05
50400	0,00964465817335	9,81528728745e-05
51300	0,00381622208153	-9,71406015303e-05
52200	0,000460746290029	-5,5924596525e-05
53100	-0,00134432158195	-3,00844645329e-05
54000	-0,00129937383679	7,49129085918e-07
54900	0,00206567496035	5,6084146619e-05
55800	-0,000826627249732	-4,82050368347e-05
56700	-0,00254318104221	-2,86092298747e-05
57600	-0,0016165574396	1,54437267102e-05
58500	-0,00275102337778	-1,89077656364e-05
59400	-0,00305478896226	-5,06275974124e-06
60300	-0,00295494992573	1,66398394217e-06
61200	-0,00333007523781	-6,25208853463e-06
62100	-0,00290595859255	7,0686107543e-06
63000	-0,00296210343326	-9,35747345229e-07
63900	-0,00281903966032	2,38439621562e-06
64800	-0,00251932460537	4,99525091585e-06
65700	-0,00308865726363	-9,48887763762e-06
66600	-0,00302972265903	9,82243410061e-07
67500	-0,00275330155185	4,60701845292e-06
68400	-0,00386532493689	-1,85337230841e-05
69300	-0,0034873789753	6,29909935995e-06
70200	-0,00395171433047	-7,73892258621e-06
71100	-0,00434180730715	-6,50154961141e-06
72000	-0,00451722126055	-2,92356588993e-06
72900	-0,00376873945	1,24746968425e-05
73800	-0,00367660145417	1,53563326384e-06
74700	-0,00347887792843	3,29539209557e-06
75600	-0,00290709469864	9,52972049659e-06
76500	-0,00292204704266	-2,49205733629e-07
77400	-0,0025327333058	6,48856228092e-06
78300	-0,00272954244276	-3,2801522827e-06
79200	-0,00242048470999	5,15096221284e-06
80100	-0,00232879608439	1,52814375998e-06
81000	-0,00214513241331	3,06106118474e-06
81900	-0,00225308694404	-1,7992421789e-06
82800	-0,00185113600361	6,69918234058e-06
83700	-0,00177448568799	1,27750526028e-06
84600	-0,00173514009529	6,5575987837e-07
85500	-0,00154943810703	3,09503313761e-06
86400	-0,00117509555731	6,23904249534e-06
87300	-0,00112091156368	9,03066560528e-07
88200	-0,00111796468817	4,91145918207e-08
89100	-0,000960581780541	2,62304846051e-06
90000	-0,000847739993744	1,88069644662e-06
90900	-0,000892857968463	-7,51966245313e-07
91800	-0,000753610019297	2,32079915276e-06
92700	-0,000834137143797	-1,34211874167e-06
93600	-0,000856986544754	-3,80823349281e-07
94500	-0,000810447474272	7,75651174701e-07
95400	-0,000775798141805	5,77488874453e-07
96300	-0,00070429995135	1,19163650758e-06
97200	-0,00074419780826	-6,64964281824e-07
98100	-0,000769167904259	-4,16168266659e-07
99000	-0,000780589134933	-1,90353844567e-07
99900	-0,000788343661351	-1,29242106955e-07
100800	-0,000667471898914	2,01452937395e-06
101700	-0,000750714330594	-1,38737386133e-06
102600	-0,000793853962191	-7,18993859955e-07
103500	-0,000748800472387	7,50891496732e-07
104400	-0,000920651094005	-2,86417702696e-06
105300	-0,000897160325028	3,91512816287e-07
106200	-0,000920387716237	-3,87123186825e-07
107100	-0,00112329632356	-3,3818101221e-06
108000	-0,00147733094327	-5,90057699511e-06
108900	-0,00151918510003	-6,9756927934e-07
109800	-0,00178632948387	-4,45240639727e-06
110700	-0,00186476805911	-1,30730958741e-06
111600	-0,00205233078341	-3,12604540494e-06
112500	-0,00202981471826	3,75267752396e-07
113400	-0,00228256062722	-4,21243181585e-06
114300	-0,002311655256	-4,84910479782e-07
115200	-0,00284572117574	-8,90109866236e-06
116100	-0,00297521081991	-2,15816073617e-06
117000	-0,00328305314231	-5,13070537325e-06
117900	-0,00236018685713	1,53811047529e-05
118800	-0,0028859740558	-8,76311997775e-06
119700	-0,00127639298001	2,68263512632e-05
120600	0,00333865532982	7,69174718304e-05
121500	-0,00162419343936	-8,2714146153e-05
122400	0,00293968668585	7,60646687536e-05
123300	0,00395424456021	1,6909297906e-05
124200	0,00395475927286	8,57854405758e-09
125100	0,00585750420385	3,17124155165e-05
126000	0,00515006838007	-1,17905970629e-05
126900	0,005265634015	1,92609391536e-06
127800	0,00449079212056	-1,29140315739e-05
128700	0,00577511631045	2,14054031648e-05
129600	0,00553708146444	-3,96724743359e-06
130500	0,0045599251178	-1,62859391106e-05
131400	0,00467527372313	1,92247675536e-06
132300	0,00463331882034	-6,99248379721e-07
133200	0,00424838347323	-6,41558911859e-06
134100	0,00252618671878	-2,87032792408e-05
135000	0,00382703355201	2,1680780554e-05
135900	0,00458151139619	1,25746307363e-05
136800	0,00308549296724	-2,49336404826e-05
137700	0,00573313236478	4,41273232925e-05
138600	0,0071584250202	2,37548775902e-05
139500	0,00271912182151	-7,39883866448e-05
140400	0,00127512804839	-2,40665628853e-05
141300	-0,000548952726134	-3,04013462421e-05
142200	-0,000143338481384	6,76023741249e-06
143100	-0,000664916559634	-8,69296797084e-06
144000	-0,00218637028084	-2,535756202e-05
144900	-0,00211606502849	1,17175420583e-06
145800	-0,00188020860197	3,93094044196e-06
146700	-0,00247249495459	-9,87143921043e-06
147600	-0,00246317698351	1,55299518071e-07
148500	-0,00286605161059	-6,71457711798e-06
149400	-0,00341030319365	-9,07085971776e-06
150300	-0,00296788997865	7,37355358341e-06
151200	-0,00345360257058	-8,09520986542e-06
152100	-0,00343506154536	3,09017086995e-07
153000	-0,00349575069873	-1,01148588953e-06
153900	-0,00377436265942	-4,6435326782e-06
154800	-0,00388050235355	-1,76899490211e-06
155700	-0,0038122755832	1,13711283907e-06
156600	-0,00356439878289	4,13128000515e-06
157500	-0,00385313284462	-4,81223436212e-06
158400	-0,00363517595804	3,63261477638e-06
159300	-0,00348911550448	2,43434089261e-06
160200	-0,00283481966134	1,09049307189e-05
161100	-0,00289287129427	-9,67527215479e-07
162000	-0,00270454795021	3,13872240103e-06
162900	-0,00279028226135	-1,42890518559e-06
163800	-0,00272549275244	1,07982514838e-06
164700	-0,00244915699451	4,60559596561e-06
165600	-0,00239531962336	8,97289519217e-07
166500	-0,00241097089481	-2,60854524202e-07
167400	-0,00221749697511	3,22456532835e-06
168300	-0,00201814451572	3,32254098975e-06
169200	-0,00209720271632	-1,31763667661e-06
170100	-0,00208223374139	2,49482915391e-07
171000	-0,00177427415451	5,13265978145e-06
171900	-0,00178285913791	-1,43083056678e-07
172800	-0,00175611164291	4,45791583357e-07
173700	-0,00151948252545	3,94381862426e-06
174600	-0,00165914728872	-2,32774605454e-06
175500	-0,00134375817975	5,25648514954e-06
176400	-0,00116167629091	3,03469814738e-06
177300	-0,00115824156357	5,72454556681e-08
178200	-0,00106891471129	1,48878087138e-06
179100	-0,0012392830028	-2,8394715252e-06
180000	-0,00103860428238	3,34464534021e-06
180900	-0,000877612494272	2,68319646855e-06
181800	-0,000851218150617	4,39905727577e-07
182700	-0,000855104765209	-6,47769098604e-08
183600	-0,000875091903859	-3,33118977495e-07
184500	-0,000805993824656	1,15163465338e-06
185400	-0,000890739266537	-1,41242403135e-06
186300	-0,000734071618724	2,61112746355e-06
187200	-0,000792413078458	-9,7235766224e-07
188100	-0,000765807261215	4,43430287396e-07
189000	-0,000772485896131	-1,11310581947e-07
189900	-0,000751743428484	3,4570779413e-07
190800	-0,000748180367566	5,93843486193e-08
191700	-0,000834552809672	-1,43954070176e-06
192600	-0,000934490726262	-1,66563194318e-06
193500	-0,000831669807497	1,71368197942e-06
194400	-0,000892474684339	-1,01341461404e-06
195300	-0,000943317677213	-8,47383214556e-07
196200	-0,00102904860089	-1,42884872801e-06
197100	-0,0010822996575	-8,87517610044e-07
198000	-0,00112341877071	-6,8531855356e-07
198900	-0,00115843252236	-5,83562527583e-07
199800	-0,00119986188041	-6,90489300771e-07
200700	-0,00151407115664	-5,23682127043e-06
201600	-0,00203596909356	-8,69829894875e-06
202500	-0,00178651019316	4,15764833998e-06
203400	-0,00243230780739	-1,07632935704e-05
204300	-0,00258842353262	-2,60192875398e-06
205200	-0,00331153277754	-1,20518207485e-05
206100	-0,00325706824856	9,07742149702e-07
207000	-0,0018936414078	2,27237806792e-05
207900	-0,00191854838906	-4,15116354224e-07
208800	1,81758546537e-05	3,22787373952e-05
209700	0,00165532563152	2,72858296145e-05
210600	-3,79947314768e-05	-2,822200605e-05
211500	0,00344702226723	5,80836166451e-05
212400	0,000676419316254	-4,61767158496e-05
213300	0,00324752944322	4,28518354495e-05
214200	0,00497008036792	2,87091820784e-05
215100	0,00157471923052	-5,65893522901e-05
216000	0,00386675803551	3,82006467498e-05
216900	0,00574720144238	3,1340723448e-05
217800	0,00133774510078	-7,34909390267e-05
218700	0,00347761002036	3,56644153262e-05
219600	0,00660849769496	5,21814612434e-05
220500	0,00843624968372	3,0462533146e-05
221400	0,00955828816549	1,87006413627e-05
222300	0,00163310209647	-0,000132086434484
223200	-0,00175653375793	-5,64939309067e-05
224100	0,000945798693361	4,50388741882e-05
225000	0,00116446662627	3,64446554855e-06
225900	0,000145011125852	-1,6990925007e-05
