time	I_imag	d/dt
0	4,84228864354e-06	0
900	9,18635844644e-06	7,24011633818e-08
1800	9,4849717435e-06	4,97688828426e-09
2700	1,20458524469e-05	4,26813450572e-08
3600	1,1937494879e-05	-1,8059594657e-09
4500	9,98200965501e-06	-3,25914203996e-08
5400	7,68824477729e-06	-3,82294146286e-08
6300	6,49325325873e-06	-1,99165253094e-08
7200	8,41473578288e-06	3,20247087358e-08
8100	5,17972895191e-06	-5,39167805161e-08
9000	4,31024915908e-06	-1,44913298805e-08
9900	4,76486215459e-06	7,57688325844e-09
10800	3,99748760138e-06	-1,27895758868e-08
11700	4,32346872223e-06	5,43301868084e-09
12600	5,0405071647e-06	1,19506407078e-08
13500	5,62675271081e-06	9,77075910182e-09
14400	4,24745567629e-06	-2,29882839085e-08
15300	3,52849036414e-06	-1,19827552026e-08
16200	4,53604653584e-06	1,67926028616e-08
17100	4,45694595766e-06	-1,3183429697e-09
18000	3,89794853441e-06	-9,31662372077e-09
18900	4,40258075868e-06	8,41053707113e-09
19800	3,70778527217e-06	-1,15799247751e-08
20700	4,57223583237e-06	1,44075093366e-08
21600	5,33391340341e-06	1,2694626184e-08
22500	5,94803725227e-06	1,0235397481e-08
23400	6,59312301061e-06	1,07514293057e-08
24300	5,96313607278e-06	-1,04997822971e-08
25200	8,45618909962e-06	4,15508837805e-08
26100	9,122749886e-06	1,11093464398e-08
27000	8,42091149163e-06	-1,16973065729e-08
27900	1,17616646264e-05	5,56792189122e-08
28800	1,66718351619e-05	8,1836175592e-08
29700	1,88290604295e-05	3,59537544601e-08
30600	4,53212905923e-05	4,4153716938e-07
31500	4,21399458687e-05	-5,30224120598e-08
32400	2,18017860755e-05	-3,38969329887e-07
33300	2,50521084455e-05	5,41720395006e-08
34200	2,05906191726e-05	-7,43581545485e-08
35100	4,10842036299e-05	3,41559740954e-07
36000	1,11143742042e-05	-4,99497157094e-07
36900	1,97343222723e-05	1,43665801135e-07
37800	4,47045865387e-05	4,16171071107e-07
38700	-5,96712076191e-09	-7,45175894325e-07
39600	-1,15502697544e-06	-1,9150997578e-08
