time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	-4,93783338149e-06	-4,93783338149e-06	-4,93783338149e-06	-4,93783338149e-06	-5,42833083877e-06	-5,42833083877e-06	-5,42833083877e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,26091760821e-06	-6,26091760821e-06	-6,26091760821e-06	-6,26091760821e-06
1800	1,08783510719e-05	1,08783510719e-05	1,08783510719e-05	1,08783510719e-05	1,19034694859e-05	1,19034694859e-05	1,19034694859e-05	1,37328699514e-05	1,37328699514e-05	1,37328699514e-05	1,37328699514e-05	1,37328699514e-05	1,37328699514e-05	1,41840532597e-05	1,41840532597e-05	1,41840532597e-05	1,41840532597e-05
2700	-1,3624190546e-05	-1,3624190546e-05	-1,3624190546e-05	-1,3624190546e-05	-1,49120087918e-05	-1,49120087918e-05	-1,49120087918e-05	-1,7179495659e-05	-1,7179495659e-05	-1,7179495659e-05	-1,7179495659e-05	-1,7179495659e-05	-1,7179495659e-05	-1,77089822421e-05	-1,77089822421e-05	-1,77089822421e-05	-1,77089822421e-05
3600	1,22218312086e-07	1,22218312086e-07	1,22218312086e-07	1,22218312086e-07	1,11630395681e-07	1,11630395681e-07	1,11630395681e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,8442394477e-07	2,8442394477e-07	2,8442394477e-07	2,8442394477e-07
4500	2,19278957225e-06	2,19278957225e-06	2,19278957225e-06	2,19278957225e-06	2,42332846808e-06	2,42332846808e-06	2,42332846808e-06	2,64867565468e-06	2,64867565468e-06	2,64867565468e-06	2,64867565468e-06	2,64867565468e-06	2,64867565468e-06	2,70194582175e-06	2,70194582175e-06	2,70194582175e-06	2,70194582175e-06
5400	2,59868334984e-06	2,59868334984e-06	2,59868334984e-06	2,59868334984e-06	2,8616531162e-06	2,8616531162e-06	2,8616531162e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,23388090557e-06	3,23388090557e-06	3,23388090557e-06	3,23388090557e-06
6300	1,32953506297e-06	1,32953506297e-06	1,32953506297e-06	1,32953506297e-06	1,46552399804e-06	1,46552399804e-06	1,46552399804e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,64936417953e-06	1,64936417953e-06	1,64936417953e-06	1,64936417953e-06
7200	-1,8144090484e-06	-1,8144090484e-06	-1,8144090484e-06	-1,8144090484e-06	-1,99165047112e-06	-1,99165047112e-06	-1,99165047112e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,2865820557e-06	-2,2865820557e-06	-2,2865820557e-06	-2,2865820557e-06
8100	2,88679778779e-06	2,88679778779e-06	2,88679778779e-06	2,88679778779e-06	3,15136784889e-06	3,15136784889e-06	3,15136784889e-06	3,68163668761e-06	3,68163668761e-06	3,68163668761e-06	3,68163668761e-06	3,68163668761e-06	3,68163668761e-06	3,79541052705e-06	3,79541052705e-06	3,79541052705e-06	3,79541052705e-06
9000	6,15886488214e-07	6,15886488214e-07	6,15886488214e-07	6,15886488214e-07	6,71597749681e-07	6,71597749681e-07	6,71597749681e-07	7,89130502088e-07	7,89130502088e-07	7,89130502088e-07	7,89130502088e-07	7,89130502088e-07	7,89130502088e-07	8,375164057e-07	8,375164057e-07	8,375164057e-07	8,375164057e-07
9900	-1,91148016282e-07	-1,91148016282e-07	-1,91148016282e-07	-1,91148016282e-07	-1,94699189947e-07	-1,94699189947e-07	-1,94699189947e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,44483449132e-07	-3,44483449132e-07	-3,44483449132e-07	-3,44483449132e-07
10800	1,09745218286e-06	1,09745218286e-06	1,09745218286e-06	1,09745218286e-06	1,19501182911e-06	1,19501182911e-06	1,19501182911e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,44554713805e-06	1,44554713805e-06	1,44554713805e-06	1,44554713805e-06
11700	-5,56630393782e-07	-5,56630393782e-07	-5,56630393782e-07	-5,56630393782e-07	-6,13509690172e-07	-6,13509690172e-07	-6,13509690172e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,99777729051e-07	-6,99777729051e-07	-6,99777729051e-07	-6,99777729051e-07
12600	-8,06866996102e-07	-8,06866996102e-07	-8,06866996102e-07	-8,06866996102e-07	-8,82093872814e-07	-8,82093872814e-07	-8,82093872814e-07	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,05039547697e-06	-1,05039547697e-06	-1,05039547697e-06	-1,05039547697e-06
13500	-8,13734840262e-07	-8,13734840262e-07	-8,13734840262e-07	-8,13734840262e-07	-8,93065769293e-07	-8,93065769293e-07	-8,93065769293e-07	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,02676648085e-06	-1,02676648085e-06	-1,02676648085e-06	-1,02676648085e-06
14400	1,48048106465e-06	1,48048106465e-06	1,48048106465e-06	1,48048106465e-06	1,62204978326e-06	1,62204978326e-06	1,62204978326e-06	1,85868471141e-06	1,85868471141e-06	1,85868471141e-06	1,85868471141e-06	1,85868471141e-06	1,85868471141e-06	1,91496844222e-06	1,91496844222e-06	1,91496844222e-06	1,91496844222e-06
15300	1,22015208158e-06	1,22015208158e-06	1,22015208158e-06	1,22015208158e-06	1,34098394955e-06	1,34098394955e-06	1,34098394955e-06	1,51106856e-06	1,51106856e-06	1,51106856e-06	1,51106856e-06	1,51106856e-06	1,51106856e-06	1,53419210718e-06	1,53419210718e-06	1,53419210718e-06	1,53419210718e-06
16200	-1,72682309681e-06	-1,72682309681e-06	-1,72682309681e-06	-1,72682309681e-06	-1,88364680125e-06	-1,88364680125e-06	-1,88364680125e-06	-2,20946272685e-06	-2,20946272685e-06	-2,20946272685e-06	-2,20946272685e-06	-2,20946272685e-06	-2,20946272685e-06	-2,28414041702e-06	-2,28414041702e-06	-2,28414041702e-06	-2,28414041702e-06
17100	6,19090086253e-07	6,19090086253e-07	6,19090086253e-07	6,19090086253e-07	6,69256220675e-07	6,69256220675e-07	6,69256220675e-07	8,22409822014e-07	8,22409822014e-07	8,22409822014e-07	8,22409822014e-07	8,22409822014e-07	8,22409822014e-07	8,46162516572e-07	8,46162516572e-07	8,46162516572e-07	8,46162516572e-07
18000	-1,7944336724e-08	-1,7944336724e-08	-1,7944336724e-08	-1,7944336724e-08	-2,35956553572e-08	-2,35956553572e-08	-2,35956553572e-08	-2,85130088696e-09	-2,85130088696e-09	-2,85130088696e-09	-2,85130088696e-09	-2,85130088696e-09	-2,85130088696e-09	4,51977569699e-08	4,51977569699e-08	4,51977569699e-08	4,51977569699e-08
18900	-3,18307825996e-07	-3,18307825996e-07	-3,18307825996e-07	-3,18307825996e-07	-3,4914115042e-07	-3,4914115042e-07	-3,4914115042e-07	-3,97644586038e-07	-3,97644586038e-07	-3,97644586038e-07	-3,97644586038e-07	-3,97644586038e-07	-3,97644586038e-07	-4,20380061711e-07	-4,20380061711e-07	-4,20380061711e-07	-4,20380061711e-07
19800	7,98952224478e-07	7,98952224478e-07	7,98952224478e-07	7,98952224478e-07	8,72352773355e-07	8,72352773355e-07	8,72352773355e-07	1,01804266213e-06	1,01804266213e-06	1,01804266213e-06	1,01804266213e-06	1,01804266213e-06	1,01804266213e-06	1,04159713532e-06	1,04159713532e-06	1,04159713532e-06	1,04159713532e-06
