time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	-1,5296159032e-06	-1,5296159032e-06	-1,5296159032e-06	-1,5296159032e-06	-1,55669033971e-06	-1,55669033971e-06	-1,55669033971e-06	-1,59418851959e-06	-1,59418851959e-06	-1,59418851959e-06	-1,59418851959e-06	-1,59418851959e-06	-1,59418851959e-06	-1,60265040382e-06	-1,60265040382e-06	-1,60265040382e-06	-1,60265040382e-06
1800	3,36915683652e-06	3,36915683652e-06	3,36915683652e-06	3,36915683652e-06	3,42571906505e-06	3,42571906505e-06	3,42571906505e-06	3,52665600864e-06	3,52665600864e-06	3,52665600864e-06	3,52665600864e-06	3,52665600864e-06	3,52665600864e-06	3,55154947378e-06	3,55154947378e-06	3,55154947378e-06	3,55154947378e-06
2700	-4,22064507649e-06	-4,22064507649e-06	-4,22064507649e-06	-4,22064507649e-06	-4,29173837977e-06	-4,29173837977e-06	-4,29173837977e-06	-4,41691216982e-06	-4,41691216982e-06	-4,41691216982e-06	-4,41691216982e-06	-4,41691216982e-06	-4,41691216982e-06	-4,44614156883e-06	-4,44614156883e-06	-4,44614156883e-06	-4,44614156883e-06
3600	3,78619884702e-08	3,78619884702e-08	3,78619884702e-08	3,78619884702e-08	3,7277930493e-08	3,7277930493e-08	3,7277930493e-08	4,57317401275e-08	4,57317401275e-08	4,57317401275e-08	4,57317401275e-08	4,57317401275e-08	4,57317401275e-08	4,68139870454e-08	4,68139870454e-08	4,68139870454e-08	4,68139870454e-08
4500	6,79276192978e-07	6,79276192978e-07	6,79276192978e-07	6,79276192978e-07	6,9200145327e-07	6,9200145327e-07	6,9200145327e-07	7,04442647264e-07	7,04442647264e-07	7,04442647264e-07	7,04442647264e-07	7,04442647264e-07	7,04442647264e-07	7,0738359428e-07	7,0738359428e-07	7,0738359428e-07	7,0738359428e-07
5400	8,04973946174e-07	8,04973946174e-07	8,04973946174e-07	8,04973946174e-07	8,194880681e-07	8,194880681e-07	8,194880681e-07	8,37621705176e-07	8,37621705176e-07	8,37621705176e-07	8,37621705176e-07	8,37621705176e-07	8,37621705176e-07	8,40035184645e-07	8,40035184645e-07	8,40035184645e-07	8,40035184645e-07
6300	4,11829567793e-07	4,11829567793e-07	4,11829567793e-07	4,11829567793e-07	4,1933482736e-07	4,1933482736e-07	4,1933482736e-07	4,28132261429e-07	4,28132261429e-07	4,28132261429e-07	4,28132261429e-07	4,28132261429e-07	4,28132261429e-07	4,29482494308e-07	4,29482494308e-07	4,29482494308e-07	4,29482494308e-07
7200	-5,62040455594e-07	-5,62040455594e-07	-5,62040455594e-07	-5,62040455594e-07	-5,71823215883e-07	-5,71823215883e-07	-5,71823215883e-07	-5,86591812631e-07	-5,86591812631e-07	-5,86591812631e-07	-5,86591812631e-07	-5,86591812631e-07	-5,86591812631e-07	-5,88103199601e-07	-5,88103199601e-07	-5,88103199601e-07	-5,88103199601e-07
8100	8,94180998997e-07	8,94180998997e-07	8,94180998997e-07	8,94180998997e-07	9,08782498286e-07	9,08782498286e-07	9,08782498286e-07	9,38046841724e-07	9,38046841724e-07	9,38046841724e-07	9,38046841724e-07	9,38046841724e-07	9,38046841724e-07	9,44325904428e-07	9,44325904428e-07	9,44325904428e-07	9,44325904428e-07
9000	1,90767671404e-07	1,90767671404e-07	1,90767671404e-07	1,90767671404e-07	1,93842288418e-07	1,93842288418e-07	1,93842288418e-07	2,00328456813e-07	2,00328456813e-07	2,00328456813e-07	2,00328456813e-07	2,00328456813e-07	2,00328456813e-07	2,02998481655e-07	2,02998481655e-07	2,02998481655e-07	2,02998481655e-07
9900	-5,92073250467e-08	-5,92073250467e-08	-5,92073250467e-08	-5,92073250467e-08	-5,94034763991e-08	-5,94034763991e-08	-5,94034763991e-08	-6,59651838194e-08	-6,59651838194e-08	-6,59651838194e-08	-6,59651838194e-08	-6,59651838194e-08	-6,59651838194e-08	-6,76685552133e-08	-6,76685552133e-08	-6,76685552133e-08	-6,76685552133e-08
10800	3,39924442521e-07	3,39924442521e-07	3,39924442521e-07	3,39924442521e-07	3,45308428712e-07	3,45308428712e-07	3,45308428712e-07	3,57432825677e-07	3,57432825677e-07	3,57432825677e-07	3,57432825677e-07	3,57432825677e-07	3,57432825677e-07	3,59134186462e-07	3,59134186462e-07	3,59134186462e-07	3,59134186462e-07
11700	-1,72412280554e-07	-1,72412280554e-07	-1,72412280554e-07	-1,72412280554e-07	-1,75551238602e-07	-1,75551238602e-07	-1,75551238602e-07	-1,79252099401e-07	-1,79252099401e-07	-1,79252099401e-07	-1,79252099401e-07	-1,79252099401e-07	-1,79252099401e-07	-1,80312405381e-07	-1,80312405381e-07	-1,80312405381e-07	-1,80312405381e-07
12600	-2,49925024822e-07	-2,49925024822e-07	-2,49925024822e-07	-2,49925024822e-07	-2,54076718212e-07	-2,54076718212e-07	-2,54076718212e-07	-2,61832742972e-07	-2,61832742972e-07	-2,61832742972e-07	-2,61832742972e-07	-2,61832742972e-07	-2,61832742972e-07	-2,63365027571e-07	-2,63365027571e-07	-2,63365027571e-07	-2,63365027571e-07
