time	I_imag	d/dt
0	2,29727502797e-07	0
900	8,31242270759e-07	1,00252461327e-08
1800	5,78385411223e-07	-4,21428099225e-09
2700	1,12630218616e-06	9,13194624895e-09
3600	1,35062676071e-06	3,73874290924e-09
4500	1,33846776175e-06	-2,0264998268e-10
5400	7,83418390062e-07	-9,25082286153e-09
6300	1,08844940836e-06	5,08385030501e-09
7200	3,70395266263e-07	-1,1967569035e-08
8100	3,89245375363e-08	-5,52451214545e-09
9000	3,6988323551e-07	5,51597829957e-09
9900	6,6077279843e-07	4,84815938199e-09
10800	5,20470044897e-07	-2,33837922554e-09
11700	1,25897990009e-08	-8,46467076494e-09
12600	5,9741943343e-08	7,85869072369e-10
13500	4,1541356354e-07	5,92786033662e-09
14400	7,77604797261e-07	6,03652056202e-09
15300	7,00168342994e-07	-1,29060757112e-09
16200	1,1096769885e-07	-9,82001073574e-09
17100	3,44213679641e-08	-1,27577218143e-09
18000	1,37879483089e-07	1,72430191876e-09
18900	4,14920225287e-07	4,61734570329e-09
19800	6,97488553366e-07	4,70947213465e-09
20700	2,34088167247e-07	-7,72333976864e-09
21600	2,22493308092e-07	-1,93247652581e-10
22500	6,29549680827e-07	6,7842728789e-09
23400	8,6729984405e-07	3,96250272039e-09
24300	1,10620777871e-06	3,98179891096e-09
25200	3,07982755775e-07	-1,33037503822e-08
26100	2,24114318116e-07	-1,39780729431e-09
27000	3,89436479307e-07	2,75536935319e-09
27900	1,26293787166e-07	-4,38571153568e-09
28800	3,62274535394e-06	5,82741927796e-08
29700	2,74749738174e-06	-1,45874662034e-08
30600	1,13844076995e-05	1,43948505296e-07
31500	5,02212350767e-06	-1,06038069864e-07
32400	5,79925159199e-06	1,29521347386e-08
33300	6,84883479092e-06	1,74930533154e-08
34200	2,6977988804e-06	-6,91839318419e-08
35100	5,77163921279e-07	-3,53439159854e-08
36000	3,75146921023e-06	5,29050881491e-08
36900	5,75074566677e-06	3,33212742757e-08
37800	2,88435826858e-06	-4,77731233031e-08
38700	-5,77556532031e-07	-5,76985800102e-08
39600	-3,23384459349e-06	-4,4271467691e-08
40500	-3,16193126098e-07	4,86275244566e-08
41400	-2,20103138414e-06	-3,14139709674e-08
42300	5,80765868151e-07	4,63632875383e-08
43200	4,47501011526e-07	-2,22108094374e-09
44100	4,19914915812e-08	-6,75849199908e-09
45000	-4,58464444828e-07	-8,34093227349e-09
45900	2,99723083486e-07	1,26364588052e-08
46800	-1,50430050619e-07	-7,50255223509e-09
47700	-8,16621853974e-07	-1,11031967226e-08
48600	-3,41184056215e-07	7,92396329598e-09
49500	9,71601222251e-08	7,30573630734e-09
50400	-1,22872751279e-06	-2,20981272502e-08
51300	-1,76646763686e-07	1,75346791517e-08
52200	-7,17262265693e-07	-9,01025836678e-09
53100	4,37289679257e-07	1,92425324158e-08
54000	1,2205723059e-06	1,3054710444e-08
54900	-1,25154548593e-05	-2,28933786087e-07
55800	8,28605308294e-07	2,22401002793e-07
56700	1,17646642589e-06	5,79768529318e-09
57600	5,50589864981e-06	7,2157203732e-08
58500	-1,74785417911e-07	-9,46780677953e-08
59400	-2,54067848581e-07	-1,3213738445e-09
60300	-2,13219481823e-07	6,80806112642e-10
61200	-3,73494511359e-07	-2,67125049227e-09
62100	3,13019668113e-07	1,14419029912e-08
63000	3,20809196551e-07	1,29825473959e-10
63900	3,12585228504e-07	-1,37066134108e-10
64800	3,50101478839e-07	6,25270838911e-10
65700	-3,07091737041e-07	-1,09532202647e-08
66600	2,89875252713e-07	9,94944982923e-09
67500	-1,20853519789e-07	-6,84547954169e-09
68400	-1,72236353862e-07	-8,56380567892e-10
69300	-2,15607111723e-07	-7,22845964342e-10
70200	-3,3113687771e-07	-1,92549609979e-09
71100	-4,62942178598e-07	-2,19675501481e-09
72000	5,40063076562e-07	1,67167542527e-08
72900	-5,33769876379e-07	-1,78972158824e-08
73800	-3,60414816825e-07	2,88925099258e-09
74700	4,10892369597e-07	1,28551197737e-08
75600	-2,28474073725e-07	-1,06561073887e-08
76500	2,58180667498e-07	8,1109123537e-09
77400	3,1579746071e-06	4,83298989934e-08
78300	-2,4234688765e-07	-5,66720249125e-08
79200	4,26962713481e-06	7,5199567041e-08
80100	2,50016911843e-06	-2,94909669397e-08
81000	1,10260089592e-06	-2,32928037084e-08
81900	3,01557370671e-06	3,18828801798e-08
82800	4,94016244081e-07	-4,20259577105e-08
83700	6,05546657231e-07	1,85884021917e-09
84600	5,02216140652e-07	-1,72217527632e-09
85500	3,64796855206e-07	-2,29032142409e-09
86400	6,3107705626e-07	4,4380033509e-09
87300	8,49454538977e-07	3,63962471196e-09
88200	3,58908075334e-07	-8,17577439406e-09
89100	4,17470237309e-07	9,76036032915e-10
90000	2,28265118662e-07	-3,15341864411e-09
90900	3,26031236015e-07	1,62943528922e-09
91800	4,48218679148e-07	2,03645738554e-09
92700	2,80336550283e-07	-2,79803548108e-09
93600	3,31546993184e-07	8,53507381679e-10
94500	2,55658811135e-07	-1,26480303415e-09
95400	5,16504271135e-07	4,34742433334e-09
96300	5,83092247504e-07	1,10979960616e-09
97200	4,16320131896e-08	-9,02433723858e-09
98100	1,95089818603e-07	2,55763009022e-09
99000	6,68388835632e-08	-2,137515584e-09
99900	4,66551053493e-07	6,66186949883e-09
100800	5,74560457553e-07	1,80015673433e-09
101700	2,16253647985e-07	-5,97178015947e-09
102600	2,33502581806e-07	2,87482230345e-10
103500	6,23583606421e-08	-2,85240368606e-09
104400	7,27296383934e-07	1,10823003882e-08
105300	4,95583641951e-07	-3,86187903305e-09
106200	7,4345858609e-07	4,13124906899e-09
107100	1,34095351998e-06	9,95824889818e-09
108000	1,3054179358e-06	-5,9225973638e-10
108900	2,1205691413e-06	1,35858534251e-08
109800	2,29873777428e-06	2,96947721632e-09
110700	9,60518598007e-07	-2,23036529379e-08
111600	4,11149449536e-07	-9,15615247452e-09
112500	2,37625387752e-06	3,27517404665e-08
113400	1,60496167003e-06	-1,28548701249e-08
114300	4,61631073473e-07	-1,90555099427e-08
115200	3,24987820435e-07	-2,27738755063e-09
116100	-2,27344742525e-07	-9,205542716e-09
117000	-3,50458807888e-07	-2,05190108939e-09
117900	6,6793799719e-06	1,17163979663e-07
118800	4,78339122876e-07	-1,03350680817e-07
119700	3,0143152943e-06	4,22662695238e-08
120600	6,11904262717e-08	-4,92187478005e-08
121500	3,08335945109e-06	5,0369483747e-08
122400	-1,24135108884e-07	-5,34582426663e-08
123300	6,18184172026e-08	3,09922543478e-09
124200	-1,07127903532e-07	-2,81577201225e-09
125100	-3,41585115753e-07	-3,90762020368e-09
126000	-4,00819728666e-07	-9,87243548552e-10
126900	-4,54132173783e-07	-8,88540751939e-10
127800	-3,22202147229e-07	2,19883377589e-09
128700	-5,65005831912e-07	-4,04672807805e-09
129600	-4,87888807715e-07	1,28528373662e-09
130500	-3,72824480488e-07	1,91773878711e-09
131400	-2,49779257482e-07	2,05075371678e-09
132300	-2,83976534741e-07	-5,69954620992e-10
133200	1,61485825365e-07	7,42437266844e-09
134100	-9,76750135719e-06	-1,65483119709e-07
135000	-2,0394139357e-07	1,5939266606e-07
135900	-2,64563258301e-07	-1,0103644122e-09
136800	-1,68295384661e-07	1,60446456068e-09
137700	-5,73464602984e-07	-6,75282030539e-09
138600	-8,61481449222e-07	-4,80028077064e-09
139500	-1,32085078703e-07	1,21566061753e-08
140400	-1,25395823992e-06	-1,86978860204e-08
141300	8,2471251542e-07	3,46445125891e-08
142200	8,72698051989e-08	-1,2290711837e-08
143100	5,13913215616e-08	-5,97974727288e-10
144000	4,09279741983e-06	6,73567683044e-08
144900	6,3160810853e-06	3,70547277579e-08
145800	4,52062075966e-06	-2,99243387607e-08
146700	9,4796411084e-07	-5,95442774803e-08
147600	3,6856899824e-06	4,56287645261e-08
148500	2,77068835334e-07	-5,68103524512e-08
149400	-2,73414253528e-07	-9,1747181477e-09
150300	-2,11016428254e-07	1,03996375456e-09
151200	-2,85623238912e-07	-1,24344684429e-09
152100	-2,82629051034e-07	4,99031313049e-11
153000	-3,92225478605e-07	-1,82660712618e-09
153900	-5,46300590415e-07	-2,56791853017e-09
154800	6,8959885029e-07	2,05983240117e-08
155700	6,71917406332e-07	-2,94690732622e-10
156600	7,32008143661e-07	1,0015122888e-09
157500	5,03478903652e-07	-3,8088206668e-09
158400	-2,99146400429e-07	-1,33770884014e-08
159300	3,773400768e-07	1,12747746205e-08
160200	-2,65877510451e-07	-1,07202931209e-08
161100	2,85354815689e-07	9,18720543568e-09
162000	3,07989425661e-06	4,65756573486e-08
162900	-2,45358550747e-07	-5,54208801226e-08
163800	-2,65004706716e-07	-3,27435932811e-10
164700	6,26083684399e-08	5,46021791927e-09
165600	2,03854204913e-06	3,29322280114e-08
166500	2,42235959079e-07	-2,99384348341e-08
167400	5,79770288336e-07	5,62557215429e-09
168300	2,15897892453e-07	-6,06453993139e-09
169200	1,10745231197e-06	1,48592403253e-08
170100	1,92523704365e-06	1,3629745528e-08
171000	1,12443507805e-06	-1,33466994266e-08
171900	1,85587064503e-06	1,2190592783e-08
172800	1,95722845501e-06	1,68929683293e-09
173700	3,60111760009e-07	-2,66186115833e-08
174600	2,94067154728e-06	4,30093297878e-08
175500	3,25700293495e-06	5,27218979461e-09
176400	1,77267276172e-06	-2,47388362206e-08
177300	3,24485278829e-06	2,45363337761e-08
178200	5,96747249598e-07	-4,41350923115e-08
179100	9,39185327513e-07	5,70730129859e-09
180000	3,96320224883e-08	-1,49925550838e-08
180900	5,66740165407e-07	8,78513571531e-09
181800	4,03483273774e-07	-2,72094819388e-09
182700	3,51287419139e-07	-8,69930910585e-10
183600	1,82604618504e-07	-2,81138001058e-09
184500	1,99221292354e-07	2,76944564159e-10
