time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	1,89686308143e-05	6,98529833173e-06	0,0	1,24611563723e-05	1,24611563723e-05	7,35221851223e-06	5,17787317376e-06	6,98529833173e-06	0,0	5,34981567315e-06	1,6845131288e-06	1,00835305513e-05	3,99602798458e-06	1,00835305513e-05	2,29727502797e-07	5,03604555156e-06	4,84228864354e-06
900	3,91107072391e-05	1,40205714058e-05	0,0	2,60543848821e-05	2,60543848821e-05	1,61257636788e-05	1,00753719367e-05	1,40205714058e-05	0,0	9,469719149e-06	3,85721874217e-06	1,9724191814e-05	7,73331460905e-06	1,9724191814e-05	8,31242270759e-07	9,75022495272e-06	9,18635844644e-06
1800	5,48198477774e-06	1,79600704853e-06	0,0	3,81286201996e-06	3,81286201996e-06	2,04188013398e-06	1,79354408314e-06	1,79600704853e-06	0,0	1,11589319889e-06	6,78865881409e-07	1,55182808173e-06	6,85891628267e-07	1,55182808173e-06	5,10459430802e-07	3,70135275089e-07	6,7285442969e-07
2700	5,34304376202e-05	1,91913004672e-05	0,0	3,55583159131e-05	3,55583159131e-05	2,15563899218e-05	1,42014004519e-05	1,91913004672e-05	0,0	1,32344149222e-05	4,14947310703e-06	2,6195521797e-05	1,05203214741e-05	2,6195521797e-05	1,12630218616e-06	1,30794396848e-05	1,20458524469e-05
3600	5,27456564655e-05	1,84817937362e-05	0,0	3,55419186496e-05	3,55419186496e-05	2,08641324259e-05	1,48792189751e-05	1,84817937362e-05	0,0	1,27742254843e-05	4,22128239433e-06	2,52159198084e-05	1,03949238501e-05	2,52159198084e-05	1,35062676071e-06	1,19799468494e-05	1,1937494879e-05
4500	4,12100693999e-05	1,47502263027e-05	0,0	2,74746202e-05	2,74746202e-05	1,50221805139e-05	1,26077065625e-05	1,47502263027e-05	0,0	1,13317099492e-05	2,97060080686e-06	2,0434467479e-05	8,73221325377e-06	2,0434467479e-05	1,33846776175e-06	9,15738784447e-06	9,98200965501e-06
5400	2,93800086123e-05	1,07091310099e-05	0,0	1,94048180719e-05	1,94048180719e-05	1,10003662031e-05	8,51253961786e-06	1,07091310099e-05	0,0	8,20403758372e-06	3,28080878244e-06	1,59739833651e-05	6,31868535829e-06	1,59739833651e-05	7,83418390062e-07	7,54022086886e-06	7,68824477729e-06
6300	2,40996345753e-05	8,91095571084e-06	0,0	1,5797756954e-05	1,5797756954e-05	9,36362643059e-06	6,52134091996e-06	8,91095571084e-06	0,0	6,82602120566e-06	3,50684040794e-06	1,38204273668e-05	5,5151211249e-06	1,38204273668e-05	1,08844940836e-06	6,27132427331e-06	6,49325325873e-06
7200	3,14357902718e-05	1,15396937276e-05	0,0	2,06858664864e-05	2,06858664864e-05	1,23636257133e-05	8,43690299132e-06	1,15396937276e-05	0,0	7,9694770301e-06	3,48054812991e-06	1,66149776917e-05	6,47255531014e-06	1,66149776917e-05	3,70395266263e-07	7,87078668811e-06	8,41473578288e-06
8100	2,02213359079e-05	7,29229419529e-06	0,0	1,34299668604e-05	1,34299668604e-05	8,23951259807e-06	5,26576283556e-06	7,29229419529e-06	0,0	5,1578656101e-06	1,99564596605e-06	1,05029817178e-05	4,00325006964e-06	1,05029817178e-05	3,89245375363e-08	5,31044137364e-06	5,17972895191e-06
9000	1,81476962722e-05	6,50264911061e-06	0,0	1,20923717196e-05	1,20923717196e-05	7,37993145467e-06	4,78042820854e-06	6,50264911061e-06	0,0	4,55477270862e-06	1,40873489032e-06	8,81114699782e-06	3,7024629004e-06	8,81114699782e-06	3,6988323551e-07	4,15008189845e-06	4,31024915908e-06
