time	I_imag	d/dt
0	5,17787317376e-06	0
900	1,00753719367e-05	8,16249793816e-08
1800	1,79354408314e-06	-1,38030464225e-07
2700	1,42014004519e-05	2,06797606146e-07
3600	1,48792189751e-05	1,12969753877e-08
4500	1,26077065625e-05	-3,78585402101e-08
5400	8,51253961786e-06	-6,82527824113e-08
6300	6,52134091996e-06	-3,3186644965e-08
7200	8,43690299132e-06	3,19260345226e-08
8100	5,26576283556e-06	-5,28523359292e-08
9000	4,78042820854e-06	-8,08891045037e-09
9900	5,34795095142e-06	9,45871238136e-09
10800	4,40133115638e-06	-1,5776996584e-08
11700	4,64942222046e-06	4,13485106803e-09
12600	5,17364624689e-06	8,73706710716e-09
13500	5,81689610025e-06	1,07208308894e-08
14400	4,67173617202e-06	-1,90859988039e-08
15300	3,90231722827e-06	-1,28236490626e-08
16200	5,24232980719e-06	2,2333542982e-08
17100	4,60068408778e-06	-1,06940953234e-08
18000	4,62358826869e-06	3,81736348451e-10
18900	4,96778159539e-06	5,73655544502e-09
19800	4,38941199016e-06	-9,63949342056e-09
20700	5,1613672207e-06	1,28659205091e-08
21600	5,78764177271e-06	1,04379092001e-08
22500	6,76669642418e-06	1,63175775245e-08
23400	7,54284062129e-06	1,29357366186e-08
24300	7,1558770444e-06	-6,44939294819e-09
25200	8,61972810864e-06	2,43975177373e-08
26100	9,04115528653e-06	7,0237862982e-09
27000	9,06477928604e-06	3,93733325087e-10
27900	1,1622135161e-05	4,2622597916e-08
28800	1,73261411778e-05	9,50667669466e-08
29700	2,46373215194e-05	1,21853005693e-07
30600	4,38241757777e-05	3,19780904305e-07
31500	3,62109308065e-05	-1,26887416186e-07
32400	2,33396492336e-05	-2,14521359549e-07
33300	2,73003728592e-05	6,60120604273e-08
34200	2,78907181083e-05	9,83908748501e-09
35100	3,89399426581e-05	1,84153742496e-07
36000	8,36626836295e-06	-5,09561238252e-07
36900	1,68898040841e-05	1,42058928686e-07
37800	2,85189133051e-05	1,93818487017e-07
38700	-4,22850589394e-07	-4,82362731575e-07
39600	-1,43586953861e-06	-1,68836491536e-08
40500	-5,79065201862e-06	-7,25797080001e-08
41400	-1,0467095291e-05	-7,7940721206e-08
42300	-8,68076398226e-06	2,97721884787e-08
43200	-6,55160228951e-06	3,54860282125e-08
44100	-1,70249783033e-06	8,08184076529e-08
45000	-4,88633456247e-06	-5,30639455357e-08
45900	-5,1118172292e-06	-3,75804444545e-09
46800	-2,5071257561e-06	4,34115245517e-08
47700	-9,71829642564e-06	-1,20186177826e-07
48600	-3,57973940478e-06	1,02309283681e-07
49500	-1,77690751581e-06	3,00471981494e-08
50400	-1,43732914505e-05	-2,09939732244e-07
51300	-2,19538103549e-06	2,02965173583e-07
52200	-1,80104829569e-07	3,35879367654e-08
53100	1,39294710653e-05	2,35159598248e-07
54000	1,34688407303e-05	-7,67717225048e-09
54900	-1,88561092005e-05	-5,38749165513e-07
55800	6,35593309508e-06	4,20200704926e-07
56700	4,50113570465e-05	6,44257065857e-07
57600	1,94277063189e-05	-4,26394178792e-07
58500	2,0115605743e-06	-2,90269095744e-07
59400	2,55365972058e-06	9,03498577123e-09
60300	2,12910882731e-06	-7,07584822118e-09
61200	2,90804150775e-06	1,29822113407e-08
62100	2,2514209214e-06	-1,09436764392e-08
63000	2,31365807346e-06	1,03728586769e-09
63900	2,11279114444e-06	-3,34778215029e-09
64800	4,52720283557e-05	7,19320620187e-07
65700	2,60794198414e-06	-7,11068106192e-07
66600	2,30125087501e-06	-5,11151848554e-09
67500	1,85813629386e-06	-7,38524301913e-09
68400	3,37361153448e-06	2,5257920677e-08
69300	2,84664240381e-06	-8,78281884449e-09
70200	3,63099783117e-06	1,30725904561e-08
