time	I_imag	d/dt
0	1,89686308143e-05	0
900	3,91107072391e-05	3,35701273746e-07
1800	4,29000778946e-06	-5,80344990827e-07
2700	5,34304376202e-05	8,19007163845e-07
3600	5,27456564655e-05	-1,14130192438e-08
4500	4,12100693999e-05	-1,92259784428e-07
5400	2,93800086123e-05	-1,97167679793e-07
6300	2,40996345753e-05	-8,80062339504e-08
7200	3,14357902718e-05	1,2226926161e-07
8100	2,02213359079e-05	-1,86907572733e-07
9000	1,81476962722e-05	-3,45606605946e-08
9900	1,8779273166e-05	1,05262815641e-08
10800	1,53001920268e-05	-5,79846856537e-08
11700	1,70202876298e-05	2,86682600499e-08
12600	1,96763014821e-05	4,42668975384e-08
13500	2,25498812115e-05	4,78929954896e-08
14400	1,74677201961e-05	-8,47026835889e-08
15300	1,3766353283e-05	-6,16894485523e-08
16200	1,91340667494e-05	8,94618911065e-08
17100	1,71082839479e-05	-3,37630466919e-08
18000	1,71654057081e-05	9,52029337094e-10
18900	1,81945069932e-05	1,71516880856e-08
19800	1,56682374761e-05	-4,2104491952e-08
20700	1,86495074448e-05	4,96878328109e-08
21600	2,19810561819e-05	5,55258122852e-08
22500	2,48142735493e-05	4,72202894561e-08
23400	2,68984488428e-05	3,47362548921e-08
24300	2,51053133895e-05	-2,98855908879e-08
25200	3,18426242292e-05	1,12288513994e-07
26100	3,34700169056e-05	2,71232112743e-08
27000	3,28362598934e-05	-1,05626168711e-08
27900	4,17454637328e-05	1,48486730657e-07
28800	6,25240047174e-05	3,4630901641e-07
29700	8,39416233665e-05	3,56960310819e-07
30600	0,000167134941875	1,38655530848e-06
31500	0,00012977663322	-6,22638477583e-07
32400	8,48414001231e-05	-7,48920551619e-07
33300	9,84208880087e-05	2,26324798093e-07
34200	7,9273379539e-05	-3,19125141162e-07
35100	0,000166272797429	1,44999029817e-06
36000	3,46213291983e-05	-2,19419113718e-06
36900	5,16535836658e-05	2,83870907791e-07
37800	9,47929688449e-05	7,18989752985e-07
38700	-1,28591728341e-06	-1,6013147688e-06
39600	-1,22427492405e-05	-1,82613865951e-07
40500	-3,47546731987e-05	-3,75198732638e-07
41400	-6,61291824546e-05	-5,22908487599e-07
42300	-6,82157407212e-05	-3,47759711094e-08
43200	-5,3198550157e-05	2,50286509404e-07
44100	-1,24260513833e-05	6,79541646227e-07
45000	-3,55940411711e-05	-3,86133163129e-07
45900	-3,54228881282e-05	2,85255071478e-09
46800	-1,70018475143e-05	3,07017343565e-07
47700	-7,902990395e-05	-1,0338009406e-06
48600	-3,08210386958e-05	8,03481087571e-07
49500	-1,48425488617e-05	2,66308163901e-07
50400	-0,00011055203946	-1,59515817665e-06
51300	-1,67259211052e-05	1,56376863925e-06
52200	-6,36161817776e-06	1,72738382123e-07
53100	4,53429725919e-05	8,61743179495e-07
54000	4,21650721581e-05	-5,29650072303e-08
54900	-0,000109506749751	-2,52786369848e-06
55800	1,65524679189e-05	2,10098696116e-06
56700	0,000166351289034	2,49664701859e-06
57600	6,7162602215e-05	-1,65314478032e-06
58500	2,52810476961e-05	-6,98025908648e-07
59400	3,15167350968e-05	1,03928123346e-07
60300	2,88775828691e-05	-4,3985870462e-08
61200	3,74516621612e-05	1,42901321534e-07
62100	2,85793199467e-05	-1,47872370241e-07
63000	2,96565675664e-05	1,79541269953e-08
63900	2,71977255041e-05	-4,09807010384e-08
64800	0,000164386278761	2,28647588761e-06
65700	3,23739808838e-05	-2,20020496461e-06
66600	3,07933024734e-05	-2,63446401735e-08
67500	2,48795033279e-05	-9,85633190916e-08
68400	4,85910040725e-05	3,95191679077e-07
69300	3,97844350201e-05	-1,46776150874e-07
70200	5,14022618269e-05	1,9363044678e-07
71100	6,33564755903e-05	1,99236896058e-07
72000	6,83403796762e-05	8,30650680976e-08
72900	4,85508189144e-05	-3,29826012696e-07
73800	4,52109124399e-05	-5,56651079084e-08
74700	4,06652772075e-05	-7,57605872073e-08
75600	2,79886527475e-05	-2,11277074333e-07
76500	2,85214777058e-05	8,88041597105e-09
77400	0,000166388674099	2,29778660655e-06
78300	2,5210559019e-05	-2,35296858467e-06
79200	0,000151916762246	2,11177005378e-06
80100	0,000140284389445	-1,93872880013e-07
81000	0,000119359624902	-3,48746075719e-07
81900	0,000131674684744	2,05250997367e-07
82800	8,86058959223e-05	-7,17813147025e-07
83700	8,17311474102e-05	-1,14579141867e-07
84600	7,81554049184e-05	-5,95957081973e-08
85500	6,2475505445e-05	-2,6133165789e-07
86400	3,64304151349e-05	-4,34084838502e-07
87300	3,28534224515e-05	-5,96165447227e-08
88200	3,28284173889e-05	-4,16751043647e-10
89100	2,42682908942e-05	-1,42668774913e-07
90000	1,89104696475e-05	-8,92970207784e-08
90900	2,07814470454e-05	3,11829566316e-08
91800	1,48254051117e-05	-9,92673655603e-08
92700	1,81352842691e-05	5,51646526227e-08
93600	1,90705894723e-05	1,55884200533e-08
94500	1,71434644185e-05	-3,21187508963e-08
95400	1,56843025024e-05	-2,43193652687e-08
96300	1,28882924948e-05	-4,6600166794e-08
97200	1,44038949895e-05	2,52600415783e-08
98100	1,53775662843e-05	1,62278549135e-08
99000	1,58594460523e-05	8,03132946715e-09
99900	1,62319755136e-05	6,20882435514e-09
100800	1,16525320823e-05	-7,63240571885e-08
101700	1,46605210389e-05	5,01331492768e-08
102600	1,63837380008e-05	2,8720282698e-08
103500	1,45748890536e-05	-3,01474824534e-08
104400	2,21488128123e-05	1,26232062646e-07
105300	2,11362992242e-05	-1,68752264685e-08
106200	2,21617727796e-05	1,70912259233e-08
107100	3,25772289653e-05	1,73590936428e-07
108000	5,70455444181e-05	4,07805257547e-07
108900	6,02081673352e-05	5,27103819525e-08
109800	8,35953042462e-05	3,89785615182e-07
110700	9,17723110353e-05	1,36283446486e-07
111600	0,000109735003118	2,99378201371e-07
112500	0,000106844199056	-4,8180067701e-08
113400	0,000135868118851	4,83731996594e-07
114300	0,000138753363624	4,80874128873e-08
