time	Vm	d/dt
0	9997,85962589	0
900	9996,92589881	-0,0155621179735
1800	9998,98112083	0,0342537002567
2700	9996,40700301	-0,0429019635946
3600	9996,42936178	0,000372646198927
4500	9996,84443163	0,0069178308748
5400	9997,33599349	0,00819269755945
6300	9997,58753369	0,00419233664246
7200	9997,2445343	-0,00571665651957
8100	9997,78968327	0,0090858162857
9000	9997,90596429	0,00193801697151
9900	9997,8703298	-0,000593908254177
10800	9998,07747502	0,00345242042304
11700	9997,97216564	-0,00175515639718
12600	9997,81975284	-0,00254021323208
13500	9997,6659281	-0,00256374563784
14400	9997,94570006	0,0046628659384
15300	9998,17641427	0,00384523687341
16200	9997,85036491	-0,00543415600323
17100	9997,96705765	0,00194487895202
18000	9997,96353639	-5,86877544568e-05
18900	9997,90337149	-0,00100274827376
19800	9998,0542532	0,00251469519153
20700	9997,87737108	-0,00294803527795
21600	9997,69583526	-0,00302559706646
22500	9997,55165009	-0,00240308613875
23400	9997,45082886	-0,00168035379647
24300	9997,53704346	0,0014369100134
25200	9997,22628316	-0,00517933843827
26100	9997,15669636	-0,00115978004784
27000	9997,18368899	0,000449877303739
27900	9996,82476283	-0,00598210280074
28800	9996,11419752	-0,0118427551602
29700	9995,49577504	-0,0103070412884
30600	9993,64763635	-0,0308023114963
31500	9994,40169551	0,0125676526142
32400	9995,47400247	0,0178717827107
33300	9995,12512675	-0,0058145953051
34200	9995,62112809	0,00826668904859
35100	9993,66096572	-0,0326693728922
36000	9997,10368802	0,057378704975
36900	9996,46728474	-0,0106067212373
37800	9995,2145699	-0,0208785807767
38700	10000,5746769	0,0893351159448
39600	10001,7813953	0,020111974735
40500	10002,9998363	0,0203073501585
41400	10004,1427322	0,0190482645123
42300	10019,7606414	0,260298486933
43200	10017,7345719	-0,0337678247599
44100	10008,7435647	-0,149850120201
45000	10014,3234625	0,0929982963008
45900	10013,9791825	-0,00573799963355
46800	10010,1113691	-0,064463557803
47700	10021,720507	0,193485632978
48600	10014,145689	-0,126246967161
49500	10009,7042017	-0,0740247891432
50400	10024,6439761	0,248996240046
51300	10009,7890677	-0,247581806509
52200	10001,2805876	-0,14180800053
53100	9996,68852812	-0,0765343255317
54000	9996,80566182	0,0019522283306
54900	10005,3279723	0,14203850836
55800	9997,99900884	-0,122149391376
56700	9993,66272753	-0,0722713551165
57600	9995,97195667	0,0384871523053
58500	9993,1079006	-0,0477342677327
59400	9992,35048067	-0,0126236655031
60300	9992,54829279	0,00329686859153
61200	9991,64445436	-0,0150639738916
62100	9992,69525964	0,0175134214413
63000	9992,55142063	-0,00239731689089
63900	9992,9460462	0,0065770927836
64800	9993,69929725	0,0125541841685
65700	9992,27621343	-0,0237180636436
66600	9992,39306018	0,00194744589465
67500	9993,07385852	0,0113466390187
68400	9990,24323276	-0,0471770959532
69300	9991,20201015	0,0159796230594
70200	9990,03511182	-0,0194483055106
71100	9989,12977538	-0,0150889405417
72000	9988,68434934	-0,00742376742134
72900	9990,56240254	0,0313008867025
73800	9990,77361471	0,00352020282501
74700	9991,2606949	0,00811800312998
75600	9992,67363835	0,0235490574679
76500	9992,6560218	-0,000293609113275
77400	9993,66083128	0,0167468246902
78300	9993,15352864	-0,00845504406025
79200	9993,94281973	0,013154851458
80100	9994,1796461	0,003947106209
81000	9994,63091107	0,00752108288428
81900	9994,36073402	-0,00450295086745
82800	9995,37433535	0,0168933554831
