time	I_imag	d/dt
0	6,98529833173e-06	0
900	1,40205714058e-05	1,17254551234e-07
1800	1,79600704853e-06	-2,03742739287e-07
2700	1,91913004672e-05	2,89921556978e-07
3600	1,84817937362e-05	-1,18251121836e-08
4500	1,47502263027e-05	-6,21927905579e-08
5400	1,07091310099e-05	-6,7351588214e-08
6300	8,91095571084e-06	-2,99695883174e-08
7200	1,15396937276e-05	4,38123002801e-08
8100	7,29229419529e-06	-7,0789992206e-08
9000	6,50264911061e-06	-1,31607514113e-08
9900	6,91328222937e-06	6,84388531269e-09
10800	5,55717823511e-06	-2,26017332377e-08
11700	6,13925042795e-06	9,70120321408e-09
12600	7,1258544948e-06	1,64434011141e-08
13500	8,14817941486e-06	1,70387486676e-08
14400	6,30620924016e-06	-3,06995029116e-08
15300	5,00942119417e-06	-2,16131340999e-08
16200	7,06606716558e-06	3,42774328568e-08
17100	6,21648856106e-06	-1,41596434086e-08
18000	6,19061162643e-06	-4,3128224391e-10
18900	6,55851313038e-06	6,13169173254e-09
19800	5,61003756142e-06	-1,58079261493e-08
20700	6,74244013455e-06	1,88733762188e-08
21600	8,05643041808e-06	2,18998380589e-08
22500	9,01312167546e-06	1,59448542897e-08
23400	9,73644702705e-06	1,20554225264e-08
24300	8,9930089706e-06	-1,2390634274e-08
25200	1,14556141694e-05	4,10434199806e-08
26100	1,22452046508e-05	1,31598413554e-08
27000	1,19861278483e-05	-4,3179467073e-09
27900	1,53680829226e-05	5,63659179053e-08
28800	2,30985980789e-05	1,28841919271e-07
29700	2,95754470571e-05	1,0794748297e-07
30600	6,26025441533e-05	5,5045161827e-07
31500	4,79031585665e-05	-2,44989759779e-07
32400	3,17265563163e-05	-2,69610037505e-07
33300	3,67104569976e-05	8,30650113551e-08
34200	2,84575634828e-05	-1,37548225245e-07
35100	5,88503763407e-05	5,06546880964e-07
36000	1,32860777722e-05	-7,59404976142e-07
36900	2,21390186719e-05	1,47549014996e-07
37800	3,88438958691e-05	2,78414619954e-07
38700	-4,7505548112e-08	-6,48190023621e-07
39600	-1,61679071987e-06	-2,61547528627e-08
40500	-9,78565575046e-06	-1,3614775051e-07
41400	-1,84788371841e-05	-1,44886357227e-07
42300	-1,58111930728e-06	2,8162863128e-07
43200	-1,14009136578e-06	7,35046569178e-09
