time	I_imag	d/dt
0	5,03604555156e-06	0
900	9,75022495235e-06	7,85696566798e-08
1800	0,0	-1,62503749206e-07
2700	1,30794396848e-05	2,17990661413e-07
3600	1,19799383884e-05	-1,83250216072e-08
4500	9,15739630513e-06	-4,70423680541e-08
5400	7,54022086885e-06	-2,69529239379e-08
6300	6,27132427331e-06	-2,11482765924e-08
7200	7,87078668844e-06	2,66577069188e-08
8100	5,31044137364e-06	-4,26724219134e-08
9000	4,15009035949e-06	-1,93391835691e-08
9900	4,30816344003e-06	2,63455134232e-09
10800	3,60069986796e-06	-1,17910595345e-08
11700	4,68827640816e-06	1,81262756701e-08
12600	5,37524254923e-06	1,14494356845e-08
13500	5,37090422578e-06	-7,23053908191e-11
14400	3,72159302862e-06	-2,74885199526e-08
15300	3,06951236221e-06	-1,08680111069e-08
16200	5,76884260654e-06	4,49888374056e-08
17100	4,87927162193e-06	-1,4826183077e-08
18000	4,1715029015e-06	-1,17961453405e-08
18900	4,1674124496e-06	-6,81741983036e-11
19800	3,41650646891e-06	-1,25150996781e-08
20700	4,86355438589e-06	2,4117465283e-08
21600	7,02524843502e-06	3,60282341522e-08
22500	6,22618390683e-06	-1,33177421365e-08
23400	5,9176409924e-06	-5,1423819072e-09
24300	5,32362891609e-06	-9,9002012719e-09
25200	7,88728044141e-06	4,27275254222e-08
26100	8,68900449633e-06	1,3362067582e-08
27000	8,2897424785e-06	-6,65436696384e-09
27900	1,08631938786e-05	4,28908566687e-08
28800	1,41434234627e-05	5,46704930679e-08
29700	1,89763447056e-05	8,05486873819e-08
30600	4,25716860695e-05	3,93255689398e-07
31500	3,5290012425e-05	-1,21361227408e-07
32400	2,07943119631e-05	-2,41595007699e-07
33300	2,49196787814e-05	6,87561136381e-08
34200	1,97544438278e-05	-8,60872492268e-08
35100	4,72955363946e-05	4,59018209447e-07
36000	1,17040590049e-05	-5,93191289829e-07
36900	1,72520880525e-05	9,24671507934e-08
37800	3,3219228405e-05	2,66119005875e-07
38700	-8,07693626201e-07	-5,67115367186e-07
39600	-1,80972794738e-06	-1,67005720196e-08
40500	-7,00958667844e-07	1,84794879922e-08
41400	-2,0196443183e-06	-2,19780941742e-08
42300	-7,62534528339e-07	2,09518298326e-08
