time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	1,89686297567e-05	6,98529886055e-06	0,0	1,24611563723e-05	1,24611563723e-05	7,35221851223e-06	5,17787317376e-06	6,98529886055e-06	0,0	5,34981778841e-06	1,68451312893e-06	1,00835305513e-05	3,9960322151e-06	1,00835305513e-05	2,29735963572e-07	5,03604555156e-06	4,84228864354e-06
900	3,91107072391e-05	1,40205714058e-05	0,0	2,6054382767e-05	2,6054382767e-05	1,61257636788e-05	1,0075376167e-05	1,40205714058e-05	0,0	9,469719149e-06	3,85721662708e-06	1,97241875835e-05	7,73331037853e-06	1,97241875835e-05	8,31246501276e-07	9,75022495235e-06	9,18636267696e-06
1800	8,84040949253e-06	3,09880248186e-06	0,0	5,95594251185e-06	5,95594251185e-06	3,48564211804e-06	2,50405501555e-06	3,09880248186e-06	0,0	1,76895340951e-06	2,4499710266e-07	3,21104893518e-06	1,42242641518e-06	3,21104893518e-06	5,29972588685e-07	1,82032980235e-06	8,65036697209e-07
2700	5,34304376202e-05	1,91913004672e-05	0,0	3,55583180284e-05	3,55583180284e-05	2,15563899214e-05	1,42014004519e-05	1,91913004672e-05	0,0	1,32344149222e-05	4,14947310723e-06	2,6195521797e-05	1,05203257042e-05	2,6195521797e-05	1,12630641624e-06	1,30794396848e-05	1,20458524469e-05
3600	5,27456564656e-05	1,84817937362e-05	0,0	3,55419186496e-05	3,55419186496e-05	2,08641324259e-05	1,48792168599e-05	1,84817937362e-05	0,0	1,27742233691e-05	4,22128027927e-06	2,52159155779e-05	1,03949280802e-05	2,52159155779e-05	1,35063522132e-06	1,19799383884e-05	1,19374991091e-05
4500	4,12100693999e-05	1,47502263027e-05	0,0	2,74746223152e-05	2,74746223152e-05	1,50221720529e-05	1,26077065625e-05	1,47502263027e-05	0,0	1,13317078339e-05	2,97059657652e-06	2,04344717095e-05	8,73221748392e-06	2,04344717095e-05	1,33846776137e-06	9,15739630513e-06	9,98200965501e-06
5400	2,93800075547e-05	1,07091310099e-05	0,0	1,9404820187e-05	1,9404820187e-05	1,10003577423e-05	8,5125375026e-06	1,07091310099e-05	0,0	8,20403758372e-06	3,2808108977e-06	1,59739833651e-05	6,31869381902e-06	1,59739833651e-05	7,83426850774e-07	7,54022086885e-06	7,68824900781e-06
6300	2,40996345752e-05	8,91095571084e-06	0,0	1,57977569541e-05	1,57977569541e-05	9,36362643059e-06	6,52134303522e-06	8,91095571084e-06	0,0	6,82601697514e-06	3,50683829268e-06	1,38204273668e-05	5,51512535514e-06	1,38204273668e-05	1,08845363859e-06	6,27132427331e-06	6,49325748924e-06
7200	3,14357913295e-05	1,15396931988e-05	0,0	2,06858643712e-05	2,06858643712e-05	1,23636172525e-05	8,43690299146e-06	1,15396931988e-05	0,0	7,96947703009e-06	3,48054812991e-06	1,66149861527e-05	6,47255954066e-06	1,66149861527e-05	3,70395265929e-07	7,87078668844e-06	8,41473155236e-06
8100	2,02213369655e-05	7,29229366647e-06	0,0	1,34299647452e-05	1,34299647452e-05	8,23952105911e-06	5,26576706597e-06	7,29229366647e-06	0,0	5,15786137957e-06	1,99564385079e-06	1,05029774873e-05	4,00325006964e-06	1,05029774873e-05	3,89287675195e-08	5,31044137364e-06	5,17973741268e-06
9000	1,81476973298e-05	6,50264911061e-06	0,0	1,20923717196e-05	1,20923717196e-05	7,37993145467e-06	4,78042820854e-06	6,50264911061e-06	0,0	4,55477270874e-06	1,40873700558e-06	8,81115122834e-06	3,70246290039e-06	8,81115122834e-06	3,69887465776e-07	4,15009035949e-06	4,31024915883e-06
9900	1,8779273166e-05	6,91328222937e-06	0,0	1,23389226492e-05	1,23389226492e-05	7,05930052318e-06	5,34795095142e-06	6,91328222937e-06	0,0	5,33882739155e-06	1,41843672863e-06	9,71237288461e-06	4,0143424075e-06	9,71237288461e-06	6,6076856817e-07	4,30816344003e-06	4,76485792433e-06
10800	1,53001930844e-05	5,55717823511e-06	0,0	1,01241908533e-05	1,01241908533e-05	5,77931148295e-06	4,40133115638e-06	5,55717823511e-06	0,0	4,28760575728e-06	1,42201423298e-06	8,10018610458e-06	3,21487429494e-06	8,10018610458e-06	5,20470044897e-07	3,60069986796e-06	3,99748760138e-06
11700	1,70202876298e-05	6,13925042798e-06	0,0	1,13027410409e-05	1,13027410409e-05	6,71652237603e-06	4,64942222046e-06	6,13925042798e-06	0,0	4,18674793333e-06	2,01938437067e-06	8,97637793296e-06	3,42187955638e-06	8,97637793296e-06	1,25940295188e-08	4,68827640816e-06	4,32346872198e-06
