time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	3,35701291373e-07	1,1725454242e-07	0,0	2,26553773245e-07	2,26553773245e-07	1,46225752776e-07	8,16250498878e-08	1,1725454242e-07	0,0	6,86650226765e-08	3,62117249693e-08	1,60677617203e-07	6,22879693905e-08	1,60677617203e-07	1,00251756284e-08	7,85696566798e-08	7,24012338904e-08
1800	-5,04504962443e-07	-1,82029482065e-07	0,0	-3,34974004252e-07	-3,34974004252e-07	-2,10668692679e-07	-1,26188685858e-07	-1,82029482065e-07	0,0	-1,28346095658e-07	-6,02036587404e-08	-2,75218977472e-07	-1,05181399389e-07	-2,75218977472e-07	-5,02123187652e-09	-1,32164919167e-07	-1,38688766329e-07
2700	7,43167135461e-07	2,68208299756e-07	0,0	4,93372925276e-07	4,93372925276e-07	3,01179130056e-07	1,94955757272e-07	2,68208299756e-07	0,0	1,91091025211e-07	6,50746000762e-08	3,83074547697e-07	1,51631654817e-07	3,83074547697e-07	9,93889712599e-09	1,87651831374e-07	1,86346929162e-07
3600	-1,14130192429e-08	-1,18251121836e-08	0,0	-2,73322980234e-10	-2,73322980234e-10	-1,15376249245e-08	1,12969401333e-08	-1,18251121836e-08	0,0	-7,6698592186e-09	1,19678620063e-09	-1,63267703188e-08	-2,08996039986e-09	-1,63267703188e-08	3,73881341796e-09	-1,83250216072e-08	-1,80588896421e-09
4500	-1,92259784429e-07	-6,21927905579e-08	0,0	-1,34454938907e-07	-1,34454938907e-07	-9,73660062171e-08	-3,78585049557e-08	-6,21927905579e-08	0,0	-2,40419255863e-08	-2,08447283792e-08	-7,96907311402e-08	-2,77118432713e-08	-7,96907311402e-08	-2,02790999146e-10	-4,70423680541e-08	-3,25914909011e-08
5400	-1,9716769742e-07	-6,7351588214e-08	0,0	-1,34496702136e-07	-1,34496702136e-07	-6,70302385098e-08	-6,82528176657e-08	-6,7351588214e-08	0,0	-5,21278375029e-08	5,17023868634e-09	-7,43414724059e-08	-4,0225394415e-08	-7,43414724059e-08	-9,25068184331e-09	-2,69529239379e-08	-3,822934412e-08
6300	-8,80062163236e-08	-2,99695883174e-08	0,0	-6,01177205483e-08	-6,01177205483e-08	-2,7278855195e-08	-3,31865744563e-08	-2,99695883174e-08	0,0	-2,2967010143e-08	3,76712324953e-09	-3,5892599972e-08	-1,33928077313e-08	-3,5892599972e-08	5,08377979687e-09	-2,11482765924e-08	-1,99165253094e-08
7200	1,22269279237e-07	4,38122914664e-08	0,0	8,14684569513e-08	8,14684569513e-08	4,99998470323e-08	3,19259992706e-08	4,38122914664e-08	0,0	1,90576675826e-08	-4,38169379499e-10	4,65759797654e-08	1,59572364254e-08	4,65759797654e-08	-1,19676395443e-08	2,66577069188e-08	3,20245677185e-08
8100	-1,86907572733e-07	-7,07899922059e-08	0,0	-1,20931660434e-07	-1,20931660434e-07	-6,87349365569e-08	-5,28522654248e-08	-7,07899922059e-08	0,0	-4,6860260842e-08	-2,47484046519e-08	-1,01866811091e-07	-4,11551578502e-08	-1,01866811091e-07	-5,52444164015e-09	-4,26724219134e-08	-5,39165689946e-08
9000	-3,45606605946e-08	-1,31607425976e-08	0,0	-2,22932170928e-08	-2,22932170928e-08	-1,43264934075e-08	-8,08898095719e-09	-1,31607425976e-08	0,0	-1,00514778472e-08	-9,7817807535e-09	-2,81971043156e-08	-5,01311948749e-09	-2,81971043156e-08	5,51597830427e-09	-1,93391835691e-08	-1,44914708975e-08
9900	1,05262639367e-08	6,84388531269e-09	0,0	4,10918215985e-09	4,10918215985e-09	-5,34384885805e-09	9,45871238136e-09	6,84388531269e-09	0,0	1,30675780468e-08	1,61662050863e-10	1,50203609378e-08	5,197991785e-09	1,50203609378e-08	4,84801837324e-09	2,63455134232e-09	7,57681275832e-09
10800	-5,79846680263e-08	-2,26017332377e-08	0,0	-3,69121965986e-08	-3,69121965986e-08	-2,13331506706e-08	-1,5776996584e-08	-2,26017332377e-08	0,0	-1,75203605711e-08	5,96250723718e-11	-2,68697796671e-08	-1,33244685426e-08	-2,68697796671e-08	-2,33830872122e-09	-1,17910595345e-08	-1,27895053825e-08
11700	2,8668242422e-08	9,70120321447e-09	0,0	1,96425031267e-08	1,96425031267e-08	1,56201815514e-08	4,13485106803e-09	9,70120321447e-09	0,0	-1,68096373259e-09	9,95616896153e-09	1,46031971397e-08	3,45008769063e-09	1,46031971397e-08	-8,46460025631e-09	1,81262756701e-08	5,43301867675e-09
12600	4,42668975389e-08	1,64434011137e-08	0,0	2,89459533252e-08	2,89459533252e-08	2,03702724735e-08	8,73706710716e-09	1,64434011137e-08	0,0	1,27996865349e-08	1,29339959793e-09	2,25542033203e-08	8,10331601118e-09	2,25542033203e-08	7,85728055104e-10	1,14494356845e-08	1,19507112161e-08
13500	4,78930131164e-08	1,70387398544e-08	0,0	3,20278146968e-08	3,20278146968e-08	2,14905500545e-08	1,07208308894e-08	1,70387398544e-08	0,0	7,2097961381e-09	3,68729957246e-09	1,76248389232e-08	1,0369912789e-08	1,76248389232e-08	5,92800134918e-09	-7,23053908191e-11	9,77068859759e-09
14400	-8,47027012157e-08	-3,06994940983e-08	0,0	-5,61093566449e-08	-5,61093566449e-08	-3,7340829312e-08	-1,90859635513e-08	-3,06994940983e-08	0,0	-1,65270648223e-08	-1,03657739538e-08	-4,43077786015e-08	-1,35256214489e-08	-4,43077786015e-08	6,03652056672e-09	-2,74885199526e-08	-2,29882839085e-08
15300	-6,16894309249e-08	-2,16131429136e-08	0,0	-4,15700020753e-08	-4,15700020753e-08	-2,89827321082e-08	-1,28236490608e-08	-2,16131429136e-08	0,0	-9,32325747703e-09	-4,98115244333e-09	-2,41028247555e-08	-1,1903302982e-08	-2,41028247555e-08	-1,29067808343e-09	-1,08680111069e-08	-1,19827552026e-08
16200	8,94618734791e-08	3,42774416701e-08	0,0	5,75116322711e-08	5,75116322711e-08	3,54890480597e-08	2,23335077276e-08	3,42774416701e-08	0,0	2,51618438586e-08	1,83457893492e-08	5,17885078051e-08	2,6368450414e-08	5,17885078051e-08	-9,82001073206e-09	4,49888374056e-08	1,67926733746e-08
17100	-3,37630466919e-08	-1,41596434082e-08	0,0	-2,05492587136e-08	-2,05492587136e-08	-9,95933534971e-09	-1,06940953216e-08	-1,41596434082e-08	0,0	-1,56631196031e-08	-5,79896936764e-09	-1,85376799672e-08	-1,72418609666e-08	-1,85376799672e-08	-1,27577218143e-09	-1,4826183077e-08	-1,31834297405e-09
18000	9,52029337094e-10	-4,31273430649e-10	0,0	1,36498115805e-09	1,36498115805e-09	9,94794556689e-10	3,81701094096e-10	-4,31273430649e-10	0,0	-3,45515413106e-09	-1,85375732274e-08	-1,81382914381e-08	-4,53175677493e-09	-1,81382914381e-08	1,72444293192e-09	-1,17961453405e-08	-9,31662372077e-09
18900	1,71516704582e-08	6,13169173294e-09	0,0	1,14418806512e-08	1,14418806512e-08	5,76914536305e-09	5,73659069764e-09	6,13169173294e-09	0,0	7,7998680895e-09	5,09317918808e-09	1,29355196309e-08	6,20024141495e-09	1,29355196309e-08	4,61720469434e-09	-6,81741983036e-11	8,41039605809e-09
19800	-4,21044743246e-08	-1,58079261493e-08	0,0	-2,73727123143e-08	-2,73727123143e-08	-1,78833600632e-08	-9,63956392761e-09	-1,58079261493e-08	0,0	-1,08925583063e-08	-2,51427998459e-10	-1,93244695835e-08	-7,7161599734e-09	-1,93244695835e-08	4,70947213043e-09	-1,25150996781e-08	-1,1579783766e-08
20700	4,96878504378e-08	1,88733585919e-08	0,0	3,20962605905e-08	3,20962605905e-08	1,9404871562e-08	1,28659910161e-08	1,88733585919e-08	0,0	1,59129980948e-08	5,32990470366e-09	3,06873611531e-08	9,63113224559e-09	3,06873611531e-08	-7,72333977292e-09	2,4117465283e-08	1,44075093406e-08
21600	5,55258122852e-08	2,18998380585e-08	0,0	3,51038388223e-08	3,51038388223e-08	2,48548657081e-08	1,04379444545e-08	2,18998380585e-08	0,0	1,92815584794e-08	1,1687978927e-08	4,09450900929e-08	1,22422924417e-08	4,09450900929e-08	-1,93177135003e-10	3,60282341522e-08	1,26945556754e-08
22500	4,72202542025e-08	1,59448631033e-08	0,0	3,23853178659e-08	3,23853178659e-08	1,6252270439e-08	1,63175070178e-08	1,59448631033e-08	0,0	6,86424712771e-09	2,77828612988e-11	1,11911879198e-08	1,16326491072e-08	1,11911879198e-08	6,78413185697e-09	-1,33177421365e-08	1,0235397481e-08
23400	3,47362725189e-08	1,20554225264e-08	0,0	2,35154815884e-08	2,35154815884e-08	1,0713393137e-08	1,29358071252e-08	1,20554225264e-08	0,0	4,29931606318e-09	-2,87895354775e-09	9,57024641783e-09	3,89384301626e-09	9,57024641783e-09	3,96250272039e-09	-5,1423819072e-09	1,07514293057e-08
24300	-2,98856085147e-08	-1,23906254608e-08	0,0	-1,83216488142e-08	-1,83216488142e-08	-1,19661490888e-08	-6,44942820045e-09	-1,23906254608e-08	0,0	-4,94426886609e-09	-1,59303195986e-09	-1,63603830461e-08	-2,64377680793e-09	-1,63603830461e-08	3,98186941959e-09	-9,9002012719e-09	-1,04997822971e-08
25200	1,12288496366e-07	4,10434111674e-08	0,0	7,40552313281e-08	7,40552313281e-08	5,00697283447e-08	2,43975177352e-08	4,10434111674e-08	0,0	2,66188872592e-08	2,39687492641e-08	7,07122798868e-08	2,14009698877e-08	7,07122798868e-08	-1,33036798792e-08	4,27275254222e-08	4,15509542836e-08
26100	2,71232641574e-08	1,31598413554e-08	0,0	1,48187832598e-08	1,48187832598e-08	7,85997408777e-09	7,02382155014e-09	1,31598413554e-08	0,0	1,9318531108e-08	-1,46597970005e-09	2,29888218864e-08	8,21274684942e-09	2,29888218864e-08	-1,39787779735e-09	1,3362067582e-08	1,11092759368e-08
27000	-1,05626344992e-08	-4,3179467073e-09	0,0	-6,53422863275e-09	-6,53422863275e-09	-6,96258573444e-09	3,93698075556e-10	-4,3179467073e-09	0,0	-3,79446956071e-09	-7,74083539644e-09	-1,5513047628e-08	-4,8947061292e-10	-1,5513047628e-08	2,75543985613e-09	-6,65436696384e-09	-1,16973065729e-08
27900	1,48486730657e-07	5,6365926719e-08	0,0	9,59531710153e-08	9,59531710153e-08	5,38528914125e-08	4,2622633168e-08	5,6365926719e-08	0,0	4,82342113573e-08	2,10184664732e-08	9,38699573122e-08	3,24052806088e-08	9,38699573122e-08	-4,38585254726e-09	4,28908566687e-08	5,56792894144e-08
28800	3,46309034036e-07	1,28841910458e-07	0,0	2,26260185641e-07	2,26260185641e-07	1,32437588385e-07	9,50667669466e-08	1,28841910458e-07	0,0	1,07582043584e-07	4,2426159454e-08	1,94512723395e-07	8,56240718814e-08	1,94512723395e-07	5,82741927875e-08	5,46704930679e-08	8,18360345891e-08
29700	3,56960293191e-07	1,07947474156e-07	0,0	2,56734323431e-07	2,56734323431e-07	1,36429034144e-07	1,21852935188e-07	1,07947474156e-07	0,0	3,5731773735e-08	-6,1532887607e-09	1,01814604695e-07	3,56749449651e-08	1,01814604695e-07	-1,45873956937e-08	8,05486873819e-08	3,59537544612e-08
30600	1,38655529085e-06	5,50451635896e-07	0,0	8,7319234111e-07	8,7319234111e-07	5,58037875753e-07	3,19780904301e-07	5,50451635896e-07	0,0	5,30770461808e-07	3,1387006489e-07	9,76337432084e-07	4,26769382625e-07	9,76337432084e-07	1,43948575796e-07	3,93255689398e-07	4,41537169371e-07
31500	-6,22638459958e-07	-2,44989768593e-07	0,0	-3,94208306742e-07	-3,94208306742e-07	-2,69431131789e-07	-1,26887380931e-07	-2,44989768593e-07	0,0	-2,14522394113e-07	-2,48557247522e-07	-4,47946160147e-07	-2,64323058945e-07	-4,47946160147e-07	-1,0603821087e-07	-1,21361227408e-07	-5,30222710539e-08
32400	-7,48920533991e-07	-2,69610046317e-07	0,0	-4,97810360859e-07	-4,97810360859e-07	-2,8607199985e-07	-2,14521359552e-07	-2,69610046317e-07	0,0	-2,14959947306e-07	1,00986149433e-08	-3,98065270897e-07	-7,8362571199e-08	-3,98065270897e-07	1,29522052267e-08	-2,41595007699e-07	-3,38969329885e-07
33300	2,26324762839e-07	8,30650289817e-08	0,0	1,4894006397e-07	1,4894006397e-07	8,3753266442e-08	6,6012060427e-08	8,30650289817e-08	0,0	6,33338740958e-08	5,9535452773e-08	1,40110175734e-07	6,691985925e-08	1,40110175734e-07	1,74930533346e-08	6,87561136381e-08	5,41719690012e-08
34200	-3,19125123534e-07	-1,3754823406e-07	0,0	-1,61957999466e-07	-1,61957999466e-07	-1,43658988839e-07	9,8390522385e-09	-1,3754823406e-07	0,0	-2,18873620915e-07	-7,53785512677e-08	-2,58414995456e-07	-1,46875852531e-07	-2,58414995456e-07	-6,91839318518e-08	-8,60872492268e-08	-7,43580840399e-08
35100	1,44999028054e-06	5,06546889779e-07	0,0	9,49707454635e-07	9,49707454635e-07	7,42246667374e-07	1,84153777752e-07	5,06546889779e-07	0,0	3,43706265547e-07	2,30694005173e-07	7,7311750612e-07	2,8347308547e-07	7,7311750612e-07	-3,53439865068e-08	4,59018209447e-07	3,41559811475e-07
36000	-2,19419111955e-06	-7,59404984955e-07	0,0	-1,44134230015e-06	-1,44134230015e-06	-8,93897194516e-07	-5,09561238258e-07	-7,59404984955e-07	0,0	-4,73372320852e-07	-2,99201523404e-07	-1,06496713118e-06	-4,26045619168e-07	-1,06496713118e-06	5,29050881619e-08	-5,93191289829e-07	-4,99497368627e-07
