time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	0,00858336028856	0,00836303592961	0	0,00869541893475	0,00869541893475	0,0090678342861	0,00810143944351	0,00836303592961	0	0,0072510094118	0,0093880454406	0,00814622232336	0,00805450270863	0,00814622232336	0,0120604124204	0,00805824040612	0,00788138204819
1800	-0,0570680535635	-0,0587418795263	0	-0,0562419807756	-0,0562419807756	-0,0604389910224	-0,0503937353908	-0,0587418795263	0	-0,072554819685	-0,245732125347	-0,0857099916655	-0,0739450549191	-0,0857099916655	-0,00947451242521	-0,0726049307088	-0,160327032109
2700	0,0139090594905	0,0139755145939	0	0,0138750355088	0,0138750355088	0,0139716868712	0,0137279247869	0,0139755145939	0	0,0144389477234	0,0156826176227	0,0146236654748	0,014413209161	0,0146236654748	0,00882432789394	0,0143470848826	0,0154698000812
3600	-0,00021637837137	-0,000639824919184	0	-7,69015828687e-06	-7,69015828687e-06	-0,000552988482291	0,000759242925195	-0,000639824919184	0	-0,000600416870521	0,000283512612633	-0,00064747878253	-0,000201055782564	-0,00064747878253	0,00276818889285	-0,00152964239156	-0,000151278667978
4500	-0,00466535939464	-0,00421639568651	0	-0,00489378661387	-0,00489378661387	-0,00648148655696	-0,00300280663798	-0,00421639568651	0	-0,00212165067603	-0,0070170175728	-0,00389981851614	-0,00317351730214	-0,00389981851614	-0,000151509812188	-0,00513708989834	-0,00326502297909
5400	-0,00671094781216	-0,00628917399104	0	-0,00693109757469	-0,00693109757469	-0,00609345987468	-0,00801791682502	-0,00628917399104	0	-0,00635392475606	0,00157590268002	-0,00465390946683	-0,0063660933046	-0,00465390946683	-0,0118079713941	-0,00357455363797	-0,00497243833819
6300	-0,00365176559208	-0,00336322940994	0	-0,00380545926379	-0,00380545926379	-0,00291327888797	-0,00508891715664	-0,00336322940994	0	-0,00336462833695	0,00107422211552	-0,00259706874609	-0,00242837775553	-0,00259706874609	0,00467064431285	-0,00337221863687	-0,00306726251691
7200	0,00388949264728	0,00379665999014	0	0,00393836368108	0,00393836368108	0,00404411152586	0,00378408988499	0,00379665999014	0	0,00239133226818	-0,000125890912335	0,00280325119367	0,00246536726702	0,00280325119367	-0,0323104549252	0,0033869177217	0,00380577413781
8100	-0,00924308679748	-0,00970750705384	0	-0,00900461488382	-0,00900461488382	-0,00834210338972	-0,0100369546853	-0,00970750705384	0	-0,00908521136834	-0,0124012130933	-0,00969885075108	-0,010280436429	-0,00969885075108	-0,141911547479	-0,00803556972218	-0,0104091317183
9000	-0,0019044102382	-0,00202390477692	0	-0,00184357689374	-0,00184357689374	-0,00194127729986	-0,001692103846	-0,00202390477692	0	-0,00220680119294	-0,00694365287115	-0,0032001612031	-0,00135399587311	-0,0032001612031	0,0149125850823	-0,00465994277087	-0,00336209587046
9900	0,000560525630768	0,000989961798986	0	0,000333026008564	0,000333026008564	-0,000756994101682	0,00176866101938	0,000989961798986	0	0,00244764947215	0,000113971985919	0,0015465181492	0,00129485511134	0,0015465181492	0,00733693853911	0,00061152539336	0,00159014452868
10800	-0,00378979975653	-0,00406712404777	0	-0,00364594041474	-0,00364594041474	-0,00369129622681	-0,00358459657396	-0,00406712404777	0	-0,00408628068039	4,19300109585e-05	-0,0033171805339	-0,00414463127332	-0,0033171805339	-0,00449268645552	-0,00327465769626	-0,00319938587879
11700	0,00168435710639	0,00158019343376	0	0,00173785306198	0,00173785306198	0,00232563530304	0,000889325785434	0,00158019343376	0	-0,000401496282881	0,00493029910806	0,00162684740423	0,00100824346205	0,00162684740423	-0,672112149943	0,00386629842015	0,00125663420418
12600	0,00224975702772	0,00230756902569	0	0,00221986711387	0,00221986711387	0,00256593310103	0,00168876391818	0,00230756902569	0	0,00258332720334	0,000616789120482	0,00218344732887	0,00207347830291	0,00218344732887	0,0131529651529	0,0021300314506	0,00237093228836
13500	0,00212386976326	0,00209111018458	0	0,00214072969275	0,00214072969275	0,00232879823746	0,00184305009142	0,00209111018458	0	0,00133829070767	0,00159056928102	0,00154778716651	0,00228902587947	0,00154778716651	0,0142699745605	-1,34624241617e-05	0,00173647023421
14400	-0,00484909880996	-0,00486813756557	0	-0,00483926387692	-0,00483926387692	-0,00534377719631	-0,00408540940825	-0,00486813756557	0	-0,00375983145453	-0,00611088656637	-0,00507612970602	-0,00363715559753	-0,00507612970602	0,0077629250061	-0,00738622405545	-0,00541224809875
15300	-0,00448117412921	-0,00431449949154	0	-0,00456792849759	-0,00456792849759	-0,00552182666329	-0,00328616085254	-0,00431449949154	0	-0,00243027485265	-0,00356455858771	-0,0033096981572	-0,00396177505524	-0,0033096981572	-0,00184338251901	-0,00354063115717	-0,00339600054583
16200	0,00467552845147	0,00485099290269	0	0,00458219726333	0,00458219726333	0,00481005185687	0,00426022561515	0,00485099290269	0	0,00470666018032	0,00734372630932	0,00498455543432	0,00574896276351	0,00498455543432	-0,0884943171197	0,00779858985139	0,0037020470534
17100	-0,00197349113416	-0,00227775588567	0	-0,00181560257836	-0,00181560257836	-0,00146881135827	-0,00232445764963	-0,00227775588567	0	-0,00355477393523	-0,00269691917124	-0,00199812580522	-0,00485394552139	-0,00199812580522	-0,0370633782701	-0,00303860580549	-0,00029579486384
18000	5,54620935434e-05	-6,9665716384e-05	0	0,000119734696899	0,000119734696899	0,000145432942747	8,25552031304e-05	-6,9665716384e-05	0	-0,000822868954123	-0,0178595266142	-0,00221489409281	-0,00138153722253	-0,00221489409281	0,0125061182537	-0,00282779267306	-0,00239013253434
