time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	9997,89524787	9997,89524787	9997,89524787	9997,89524787	9997,85962589	9997,85962589	9997,85962589	9997,79831896	9997,79831896	9997,79831896	9997,79831896	9997,79831896	9997,79831896	9997,78438852	9997,78438852	9997,78438852	9997,78438852
900	9996,9777557	9996,9777557	9996,9777557	9996,9777557	9996,92589881	9996,92589881	9996,92589881	9996,84210791	9996,84210791	9996,84210791	9996,84210791	9996,84210791	9996,84210791	9996,82310377	9996,82310377	9996,82310377	9996,82310377
1800	9998,56312148	9998,56312148	9998,56312148	9998,56312148	9998,53819268	9998,53819268	9998,53819268	9998,50000113	9998,50000113	9998,50000113	9998,50000113	9998,50000113	9998,50000113	9998,49347642	9998,49347642	9998,49347642	9998,49347642
2700	9996,46755497	9996,46755497	9996,46755497	9996,46755497	9996,40700301	9996,40700301	9996,40700301	9996,30871194	9996,30871194	9996,30871194	9996,30871194	9996,30871194	9996,30871194	9996,28711606	9996,28711606	9996,28711606	9996,28711606
3600	9996,49026419	9996,49026419	9996,49026419	9996,49026419	9996,42936178	9996,42936178	9996,42936178	9996,33614093	9996,33614093	9996,33614093	9996,33614093	9996,33614093	9996,33614093	9996,3151941	9996,3151941	9996,3151941	9996,3151941
4500	9996,89770346	9996,89770346	9996,89770346	9996,89770346	9996,84443163	9996,84443163	9996,84443163	9996,75866952	9996,75866952	9996,75866952	9996,75866952	9996,75866952	9996,75866952	9996,73948587	9996,73948587	9996,73948587	9996,73948587
5400	9997,38056131	9997,38056131	9997,38056131	9997,38056131	9997,33599349	9997,33599349	9997,33599349	9997,2611049	9997,2611049	9997,2611049	9997,2611049	9997,2611049	9997,2611049	9997,24336804	9997,24336804	9997,24336804	9997,24336804
6300	9997,62760043	9997,62760043	9997,62760043	9997,62760043	9997,58753369	9997,58753369	9997,58753369	9997,51792049	9997,51792049	9997,51792049	9997,51792049	9997,51792049	9997,51792049	9997,50099314	9997,50099314	9997,50099314	9997,50099314
7200	9997,29046753	9997,29046753	9997,29046753	9997,29046753	9997,2445343	9997,2445343	9997,2445343	9997,16606515	9997,16606515	9997,16606515	9997,16606515	9997,16606515	9997,16606515	9997,14823185	9997,14823185	9997,14823185	9997,14823185
8100	9997,82685954	9997,82685954	9997,82685954	9997,82685954	9997,78968327	9997,78968327	9997,78968327	9997,72876542	9997,72876542	9997,72876542	9997,72876542	9997,72876542	9997,72876542	9997,71469791	9997,71469791	9997,71469791	9997,71469791
