time	I_imag	d/dt
0	2,29735963572e-07	0
900	8,31246501276e-07	1,00251756284e-08
1800	5,29972588685e-07	-5,02123187652e-09
2700	1,12630641624e-06	9,93889712599e-09
3600	1,35063522132e-06	3,73881341796e-09
4500	1,33846776137e-06	-2,02790999146e-10
5400	7,83426850774e-07	-9,25068184331e-09
6300	1,08845363859e-06	5,08377979687e-09
7200	3,70395265929e-07	-1,19676395443e-08
8100	3,89287675195e-08	-5,52444164015e-09
9000	3,69887465776e-07	5,51597830427e-09
9900	6,6076856817e-07	4,84801837324e-09
10800	5,20470044897e-07	-2,33830872122e-09
11700	1,25940295188e-08	-8,46460025631e-09
12600	5,9737712825e-08	7,85728055104e-10
13500	4,15417793776e-07	5,92800134918e-09
14400	7,77609027779e-07	6,03652056672e-09
15300	7,00168342773e-07	-1,29067808343e-09
16200	1,1096769885e-07	-9,82001073206e-09
17100	3,44213679641e-08	-1,27577218143e-09
18000	1,3788794388e-07	1,72444293192e-09
18900	4,1492022554e-07	4,61720469434e-09
19800	6,97488553366e-07	4,70947213043e-09
20700	2,3408816699e-07	-7,72333977292e-09
21600	2,2249753889e-07	-1,93177135003e-10
22500	6,29545450309e-07	6,78413185697e-09
23400	8,67295613532e-07	3,96250272039e-09
24300	1,10620777871e-06	3,98186941959e-09
25200	3,07986985957e-07	-1,33036798792e-08
26100	2,24114318116e-07	-1,39787779735e-09
27000	3,89440709484e-07	2,75543985613e-09
27900	1,26289556649e-07	-4,38585254726e-09
28800	3,6227411239e-06	5,82741927875e-08
29700	2,74749738228e-06	-1,45873956937e-08
30600	1,138441193e-05	1,43948575796e-07
31500	5,02211927783e-06	-1,0603821087e-07
32400	5,79925159144e-06	1,29522052267e-08
33300	6,84883479151e-06	1,74930533346e-08
34200	2,6977988804e-06	-6,91839318518e-08
35100	5,77159689997e-07	-3,53439865068e-08
36000	3,75146497971e-06	5,29050881619e-08
36900	5,75074566677e-06	3,33213447844e-08
37800	2,88435826798e-06	-4,77731233131e-08
38700	-5,77556532031e-07	-5,76985800002e-08
39600	-3,23384459349e-06	-4,4271467691e-08
40500	-3,1618889558e-07	4,86275949652e-08
41400	-2,20102715316e-06	-3,14139709596e-08
42300	5,80765856465e-07	4,63632168271e-08
43200	4,47505253856e-07	-2,22101004348e-09
44100	4,20084133602e-08	-6,75828067494e-09
45000	-4,58464446777e-07	-8,34121433562e-09
45900	2,99731549714e-07	1,26365999415e-08
46800	-1,50442738619e-07	-7,50290480556e-09
47700	-8,16634531194e-07	-1,11031965429e-08
48600	-3,4120521464e-07	7,92382194256e-09
49500	9,71601207248e-08	7,30608892274e-09
50400	-1,2287317434e-06	-2,20981977355e-08
51300	-1,76646766144e-07	1,7534749621e-08
52200	-7,17262265693e-07	-9,01025832582e-09
53100	4,37289678847e-07	1,9242532409e-08
54000	1,22056807538e-06	1,30546399422e-08
54900	-1,25154633216e-05	-2,28933856616e-07
55800	8,28605308294e-07	2,22401143831e-07
56700	1,17647488692e-06	5,79782631046e-09
57600	5,50590287983e-06	7,21571332152e-08
58500	-1,74853105045e-07	-9,46792664146e-08
59400	-2,54089007755e-07	-1,32059837851e-09
60300	-2,13189866278e-07	6,81652357958e-10
61200	-3,73511431381e-07	-2,67202608505e-09
62100	3,13023893981e-07	1,14422554227e-08
63000	3,20843042115e-07	1,3031913557e-10
63900	3,12526001215e-07	-1,38617348347e-10
64800	3,50101478839e-07	6,26257960406e-10
65700	-3,07104427043e-07	-1,09534317647e-08
66600	2,89875253622e-07	9,94966134442e-09
67500	-1,20840825303e-07	-6,84526798207e-09
68400	-1,72257508722e-07	-8,56944723659e-10
69300	-2,15607104535e-07	-7,22493263551e-10
70200	-3,31153799881e-07	-1,92577825577e-09
71100	-4,62925263741e-07	-2,19619106434e-09
72000	5,40096915547e-07	1,67170363215e-08
72900	-5,33769882016e-07	-1,78977799594e-08
73800	-3,60402124762e-07	2,88946262089e-09
74700	4,10845838708e-07	1,28541327245e-08
75600	-2,28516384648e-07	-1,06560370559e-08
76500	2,58193361165e-07	8,11182909688e-09
77400	3,1579746071e-06	4,83296874323e-08
78300	-2,42359579779e-07	-5,6672236448e-08
79200	4,26963136459e-06	7,51998490728e-08
80100	2,50016911701e-06	-2,94910374597e-08
81000	1,10260089592e-06	-2,32928036848e-08
81900	3,01556947619e-06	3,18828096712e-08
82800	4,94012012999e-07	-4,20259577199e-08
83700	6,0554665777e-07	1,85891074618e-09
84600	5,0222037117e-07	-1,72210477667e-09
85500	3,64805315771e-07	-2,29025092331e-09
86400	6,31072825742e-07	4,43779183285e-09
87300	8,49450308118e-07	3,63962470627e-09
88200	3,58908075334e-07	-8,17570387974e-09
89100	4,17474467535e-07	9,76106536691e-10
90000	2,28273579698e-07	-3,15334813062e-09
90900	3,26022774979e-07	1,62915325469e-09
91800	4,48218679148e-07	2,0365984028e-09
92700	2,80332319765e-07	-2,79810598971e-09
93600	3,31546993184e-07	8,53577890314e-10
94500	2,55663041653e-07	-1,26473252552e-09
95400	5,16508501653e-07	4,34742433334e-09
96300	5,83092247504e-07	1,10972909752e-09
97200	4,1627782898e-08	-9,02440774344e-09
98100	1,95085588319e-07	2,55763009035e-09
99000	6,68388835632e-08	-2,13744507926e-09
99900	4,66555284011e-07	6,66194000746e-09
100800	5,74564688274e-07	1,80015673771e-09
101700	2,16249417467e-07	-5,97192118011e-09
102600	2,33502581806e-07	2,87552738977e-10
103500	6,23583606421e-08	-2,85240368606e-09
104400	7,27292153416e-07	1,10822298796e-08
105300	4,95583641951e-07	-3,86180852441e-09
106200	7,43462816608e-07	4,13131957762e-09
107100	1,34095351998e-06	9,95817838954e-09
108000	1,30541793535e-06	-5,92259743846e-10
108900	2,12056914223e-06	1,3585853448e-08
109800	2,29874623478e-06	2,96961820916e-09
110700	9,6051436862e-07	-2,23038644359e-08
111600	4,11145219018e-07	-9,15615249336e-09
112500	2,37625387691e-06	3,27518109648e-08
113400	1,60496167003e-06	-1,28548701146e-08
114300	4,61631072768e-07	-1,90555099544e-08
115200	3,2497935916e-07	-2,27752856014e-09
116100	-2,27361665962e-07	-9,20568375203e-09
117000	-3,5053072769e-07	-2,05281769547e-09
117900	6,67938420241e-06	1,17165248835e-07
118800	4,78347585459e-07	-1,03350610283e-07
119700	3,01432375495e-06	4,22662694915e-08
120600	6,12115772708e-08	-4,92185362946e-08
121500	3,08336791262e-06	5,03692722559e-08
122400	-1,24139341336e-07	-5,34584542327e-08
123300	6,18480294875e-08	3,09978951372e-09
124200	-1,07106753897e-07	-2,81591305641e-09
125100	-3,41585134819e-07	-3,90797301538e-09
